Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;;
Preliminary prices in purple;;;;;;;;;;;;;;;;;;
Data was last updated 12-11-2015;;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;ELE;LV;LT
26/08/2013;280,27;366,66;366,66;366,66;366,66;366,75;365,40;368,74;240,99;240,99;240,99;299,08;299,08;299,08;365,67;;375,79;375,79
27/08/2013;282,74;378,96;378,96;378,96;378,96;378,96;379,54;380,61;244,22;244,22;244,22;290,53;290,53;276,05;370,51;;380,31;380,31
28/08/2013;285,22;392,19;392,19;392,19;392,19;392,19;395,92;395,92;248,21;248,21;248,21;297,72;297,72;277,10;382,72;;387,50;387,50
29/08/2013;282,80;382,63;382,63;382,63;382,63;382,63;402,33;402,92;249,75;249,75;249,75;317,80;317,80;293,89;376,43;;387,93;387,93
30/08/2013;274,89;336,75;336,75;336,75;336,75;336,75;342,63;344,25;248,10;248,10;248,10;312,59;312,59;312,59;336,01;;388,98;388,98
31/08/2013;253,85;275,44;275,44;275,44;275,44;275,52;241,54;275,44;242,53;242,53;242,53;275,44;275,44;275,44;342,40;;343,55;343,55
01/09/2013;242,80;255,04;255,04;255,04;255,04;255,04;215,62;255,04;237,11;237,11;237,11;255,04;255,04;255,04;255,04;;384,71;384,71
02/09/2013;258,83;288,39;288,39;288,39;288,39;342,67;224,26;287,72;242,10;242,10;242,10;288,39;288,39;288,39;342,67;;413,66;413,66
03/09/2013;283,70;377,22;377,22;379,32;379,32;389,58;366,31;392,20;252,99;252,99;252,99;375,92;375,92;375,92;384,27;;419,29;419,29
04/09/2013;290,62;363,29;363,29;387,41;387,41;387,41;397,14;401,77;259,49;259,49;259,49;359,07;359,07;356,96;382,48;;449,14;449,14
05/09/2013;289,83;327,86;327,86;339,73;339,73;339,73;348,09;359,09;265,97;265,97;265,97;327,86;327,86;325,85;335,76;;470,13;470,13
06/09/2013;275,34;302,28;302,28;303,50;303,50;303,50;283,77;305,53;263,06;262,91;263,06;302,58;302,58;301,88;302,35;;423,35;423,35
07/09/2013;273,64;301,05;301,05;301,05;301,05;301,05;279,47;300,94;262,39;262,39;262,39;301,05;301,05;300,57;301,05;;460,15;460,15
08/09/2013;268,29;292,94;292,94;292,94;292,94;292,94;256,26;268,42;258,52;255,38;258,52;292,94;292,94;292,94;292,94;;491,26;491,26
09/09/2013;302,83;366,96;366,96;366,96;366,96;386,33;364,39;376,05;267,64;266,27;267,64;341,50;341,50;341,50;369,96;;401,04;401,04
10/09/2013;310,85;381,44;381,44;381,44;381,44;443,97;361,31;381,44;268,51;267,47;268,51;353,53;353,53;353,53;435,63;;514,52;514,52
11/09/2013;313,67;389,19;389,19;389,19;389,19;510,95;370,62;389,19;270,85;269,49;270,85;371,26;371,26;370,84;509,17;;583,95;583,95
12/09/2013;313,53;418,83;418,83;418,83;418,83;459,33;404,68;418,83;269,73;269,73;269,73;363,62;363,62;363,62;457,08;;529,05;529,05
13/09/2013;315,43;386,61;386,61;388,34;388,34;437,81;373,14;391,06;270,58;270,58;270,58;380,96;380,96;379,60;435,86;;467,11;467,11
14/09/2013;284,61;326,19;326,19;326,19;326,19;384,71;282,93;326,19;268,17;268,17;268,17;326,19;326,19;326,19;384,71;;384,71;384,71
15/09/2013;271,71;292,72;292,72;292,72;292,72;292,72;263,30;292,72;264,69;264,69;264,69;292,72;292,72;292,72;297,60;;311,51;311,51
16/09/2013;281,19;328,41;328,41;332,40;332,40;340,66;307,36;307,36;261,78;261,78;261,78;327,57;327,57;288,65;315,23;;416,67;416,67
17/09/2013;284,09;342,43;342,43;343,48;343,48;344,59;273,27;343,48;260,83;260,83;260,83;340,29;340,29;326,88;282,53;;536,74;536,74
18/09/2013;292,42;377,73;377,73;377,73;377,73;377,73;371,15;382,68;264,46;264,46;264,46;338,41;338,41;302,21;281,72;;467,44;467,44
19/09/2013;295,20;371,87;371,87;392,42;392,42;392,42;393,06;393,06;265,35;265,35;265,35;341,28;341,28;321,77;392,42;;547,96;547,96
20/09/2013;294,36;377,53;377,53;411,42;411,42;411,42;416,65;416,65;262,53;262,53;262,53;315,40;315,40;296,66;410,02;;455,97;455,97
21/09/2013;265,35;283,07;283,07;283,07;283,07;283,07;289,57;289,57;256,66;256,66;256,66;283,07;283,07;283,07;368,32;;368,32;368,32
22/09/2013;247,81;242,27;242,27;242,27;242,27;242,27;211,03;242,27;250,65;250,65;250,65;243,72;243,72;243,72;324,35;;332,97;332,97
23/09/2013;268,69;275,09;275,09;301,56;302,81;338,85;300,07;304,40;257,96;257,96;257,96;280,19;280,19;257,59;327,24;;356,56;356,56
24/09/2013;302,40;365,93;365,93;380,81;383,74;381,93;390,50;391,32;267,92;267,92;267,92;355,56;355,56;291,95;373,65;;451,54;451,54
25/09/2013;314,07;368,33;368,33;404,10;406,97;393,37;414,88;414,88;275,96;275,96;275,96;349,46;349,46;291,78;386,60;;506,75;506,75
26/09/2013;302,08;343,48;343,48;388,72;402,46;387,78;409,77;409,77;279,76;275,64;279,76;337,57;337,57;287,78;387,78;;513,00;513,00
27/09/2013;296,26;320,01;320,01;333,50;362,95;336,64;392,11;392,11;286,41;278,57;286,41;320,01;320,01;317,51;336,64;;587,64;587,64
28/09/2013;283,05;290,28;290,28;290,28;291,23;296,05;291,46;292,40;281,40;279,15;281,40;290,77;290,77;290,77;296,05;;497,79;497,79
29/09/2013;277,04;287,85;287,85;287,85;287,85;287,85;233,18;287,85;279,69;275,68;279,69;287,85;287,85;287,85;287,85;;480,42;480,42
30/09/2013;296,17;336,52;336,52;344,79;344,79;343,58;285,35;345,22;283,49;277,31;283,49;336,52;336,52;336,52;343,58;;646,41;646,41
01/10/2013;308,42;363,80;363,80;383,96;388,14;383,96;356,45;388,55;284,49;277,67;284,49;361,52;361,52;361,52;383,96;;942,03;942,03
02/10/2013;295,79;328,80;328,80;343,52;344,15;343,52;278,08;344,15;282,28;277,19;282,28;328,80;328,80;328,80;343,52;;525,19;525,19
03/10/2013;282,85;301,88;301,88;301,88;301,88;308,86;180,53;285,74;281,95;277,12;281,95;301,88;301,88;301,88;308,86;;534,90;534,90
04/10/2013;281,52;296,13;296,13;296,13;296,13;309,23;168,72;266,53;282,43;279,00;282,43;296,13;296,13;296,13;309,23;;588,16;588,16
05/10/2013;275,10;270,26;270,26;270,26;270,26;270,26;268,85;275,03;276,53;276,53;276,53;279,31;279,31;279,31;275,45;;501,71;501,71
06/10/2013;277,82;281,06;281,06;281,06;281,06;281,06;283,30;284,93;276,68;276,62;276,68;281,06;281,06;281,06;303,90;;479,69;479,69
07/10/2013;289,93;315,45;315,45;315,45;315,45;316,23;298,98;403,82;278,03;278,03;278,03;315,51;315,51;315,51;316,23;;509,73;509,73
08/10/2013;291,31;326,26;326,26;326,26;326,26;326,26;284,88;387,19;276,80;276,80;276,80;326,26;326,26;326,26;326,26;;522,55;522,55
09/10/2013;283,25;304,79;304,79;304,79;304,79;304,79;299,29;336,99;273,18;273,18;273,18;304,79;304,79;304,79;304,79;;470,20;470,20
10/10/2013;288,57;316,30;316,30;317,12;318,80;317,12;308,04;397,96;274,99;274,99;274,99;316,30;316,30;316,30;317,12;;389,44;389,44
11/10/2013;282,63;300,19;300,19;306,99;306,99;308,61;265,35;306,54;276,87;276,87;276,87;300,19;300,19;300,19;308,61;;501,78;501,78
12/10/2013;278,07;288,97;288,97;288,97;288,97;288,97;230,28;271,12;277,67;277,67;277,67;288,97;288,97;288,97;288,97;;396,19;396,19
13/10/2013;279,28;293,16;293,16;293,16;293,16;293,16;237,06;280,59;276,74;276,74;276,74;293,16;293,16;293,16;293,16;;412,27;412,27
14/10/2013;307,10;337,50;337,50;368,80;368,80;394,66;329,35;368,80;284,05;284,05;284,05;337,50;337,50;337,50;394,66;;468,66;468,66
15/10/2013;313,83;335,66;335,66;388,58;388,58;394,06;360,60;389,10;287,19;287,19;287,19;335,66;335,66;335,66;393,41;;648,92;648,92
16/10/2013;321,78;361,55;361,55;424,05;424,05;700,63;403,90;424,05;286,97;286,97;286,97;361,55;361,55;361,55;700,63;;808,83;808,83
17/10/2013;305,56;359,56;359,56;359,77;359,77;497,52;282,44;359,77;284,46;281,44;284,46;359,56;359,56;359,56;494,71;;558,28;558,28
18/10/2013;305,21;341,75;341,75;342,09;342,09;420,93;260,12;295,60;287,75;286,18;287,75;341,75;341,75;341,75;420,84;;511,84;511,84
19/10/2013;295,75;335,31;335,31;335,31;335,31;335,31;284,14;335,31;284,90;284,14;284,90;335,31;335,31;335,31;342,48;;492,81;492,81
20/10/2013;293,24;329,43;329,43;329,43;329,43;329,43;288,69;329,43;285,31;283,54;285,31;329,43;329,43;329,43;356,88;;359,36;359,36
21/10/2013;328,99;371,50;371,50;374,46;374,46;374,46;355,68;369,57;290,35;288,19;290,35;372,46;372,46;371,50;374,20;;442,74;442,74
22/10/2013;297,79;327,79;327,79;327,79;327,79;327,79;263,59;316,60;285,51;279,97;284,23;334,54;334,54;327,79;327,79;;457,41;457,41
23/10/2013;281,56;311,99;311,99;311,99;311,99;312,69;238,22;273,58;276,30;273,57;273,84;312,00;312,00;312,00;312,69;;378,37;378,37
24/10/2013;278,63;299,48;299,48;299,48;299,48;317,81;260,39;276,24;267,40;267,07;267,07;302,18;302,18;302,18;317,81;;364,87;364,87
25/10/2013;281,39;301,36;301,36;308,89;308,89;317,59;293,36;309,04;264,17;263,58;264,17;301,36;301,36;301,36;318,09;;385,95;385,95
26/10/2013;253,09;258,90;258,90;258,90;258,90;258,90;209,75;236,81;252,36;249,81;252,36;258,90;258,90;258,90;295,45;;344,64;344,64
27/10/2013;255,70;273,20;273,20;273,20;273,20;273,20;89,30;221,26;252,59;247,58;252,59;273,20;273,20;273,20;315,94;;339,66;339,66
28/10/2013;256,35;255,87;255,87;255,87;255,87;374,90;207,09;211,30;251,52;250,85;251,52;261,39;261,39;261,03;408,19;;424,07;424,07
29/10/2013;259,27;258,97;258,97;258,97;258,97;313,62;214,30;221,66;257,02;255,82;257,02;264,63;264,63;264,63;313,62;;366,43;366,43
30/10/2013;257,30;258,16;258,16;258,16;258,16;312,40;249,30;256,50;251,59;249,37;251,59;263,15;263,15;263,15;316,74;;359,93;359,93
31/10/2013;257,41;260,10;260,10;260,10;260,10;319,64;251,22;258,02;254,97;248,92;254,97;261,86;261,86;261,55;328,08;;358,14;358,14
01/11/2013;257,51;267,23;267,23;267,23;267,23;283,34;240,84;252,06;254,56;248,88;254,56;267,23;267,23;267,23;283,34;;308,14;308,14
02/11/2013;255,28;263,21;263,21;263,21;263,21;263,21;257,92;265,02;251,87;250,16;251,87;263,21;263,21;263,21;305,17;;306,73;306,73
03/11/2013;245,56;255,76;255,76;255,76;255,76;255,76;75,89;247,46;252,23;239,95;252,23;255,97;255,97;255,76;303,61;;303,61;303,61
04/11/2013;258,41;262,10;262,10;262,10;262,10;262,10;208,26;249,50;257,52;251,78;257,52;272,53;272,53;271,79;262,50;;293,41;293,41
05/11/2013;270,78;281,64;281,64;281,64;282,20;284,37;253,05;296,54;264,59;260,02;264,59;287,00;287,00;281,64;284,37;;314,52;314,52
06/11/2013;277,61;294,01;294,01;294,01;298,86;296,28;291,02;298,86;263,58;263,16;263,58;295,28;295,28;294,01;420,73;;437,19;437,19
07/11/2013;275,66;287,70;287,70;287,70;288,79;290,05;278,02;288,53;269,09;265,03;269,09;289,80;289,80;287,70;375,07;;413,58;413,58
08/11/2013;273,90;283,32;283,32;283,32;315,36;283,47;281,91;315,57;266,97;264,30;266,97;288,64;288,64;286,96;318,36;;419,49;419,49
09/11/2013;262,37;263,68;263,68;263,68;263,68;263,68;257,20;259,75;262,19;261,97;262,19;269,14;269,14;263,68;308,15;;311,09;311,09
10/11/2013;258,74;240,98;240,98;240,98;241,29;240,98;240,80;241,10;261,38;261,38;261,38;272,14;272,14;258,27;298,95;;303,66;303,66
11/11/2013;284,19;293,45;293,45;293,45;301,69;301,87;302,25;309,44;273,91;273,86;273,91;295,24;295,24;293,45;371,12;;371,37;371,37
12/11/2013;271,28;276,47;276,47;276,47;278,58;281,44;259,34;263,15;267,64;267,64;267,64;276,71;276,71;276,71;275,63;;428,25;428,25
13/11/2013;271,48;272,88;272,88;272,88;272,88;285,39;267,78;268,41;269,45;269,39;269,45;272,97;272,97;272,88;332,66;;340,55;340,55
14/11/2013;280,14;285,39;285,39;285,39;296,25;296,30;283,67;291,69;271,94;271,94;271,94;285,39;285,39;285,39;300,52;;368,41;368,41
15/11/2013;271,03;269,66;269,66;269,66;286,33;283,50;315,76;316,64;267,19;267,19;267,19;269,66;269,66;269,66;301,12;;350,65;350,65
16/11/2013;244,84;244,82;244,82;244,82;244,82;245,91;244,20;244,50;244,98;244,98;244,98;244,82;244,82;244,82;256,63;;269,41;269,41
17/11/2013;249,00;246,67;246,67;246,67;258,99;246,67;249,24;258,99;251,20;251,20;251,20;246,67;246,67;246,67;292,07;;292,52;292,52
18/11/2013;279,91;288,22;288,22;288,22;332,19;299,75;324,74;333,88;266,26;266,26;266,26;288,22;288,22;288,22;343,28;;343,28;343,28
19/11/2013;286,77;284,88;284,88;284,88;383,84;294,48;290,01;383,98;277,61;277,61;277,61;284,88;284,88;284,88;306,90;;404,59;404,59
20/11/2013;305,11;302,77;302,77;302,77;376,47;318,12;301,39;376,47;289,00;289,00;289,00;302,77;302,77;302,77;327,52;;503,35;503,35
21/11/2013;306,03;300,58;300,58;300,58;402,99;308,07;293,84;407,78;298,83;298,75;298,83;300,58;300,58;300,58;320,22;;506,30;506,30
22/11/2013;306,87;301,14;301,14;301,14;368,89;310,83;305,07;369,95;294,49;294,27;294,49;301,14;301,14;301,14;380,93;;495,69;495,69
23/11/2013;276,13;275,66;275,66;275,66;326,21;275,66;257,78;330,46;275,18;275,16;275,18;275,66;275,66;275,66;332,28;;332,28;332,28
24/11/2013;260,82;260,73;260,73;260,73;260,73;260,73;234,32;234,32;262,70;262,70;262,70;260,73;260,73;260,73;285,08;;285,08;285,08
25/11/2013;305,92;297,34;297,34;323,96;328,57;329,49;323,90;328,80;299,41;299,38;299,41;297,34;297,34;297,34;357,01;;357,01;357,01
26/11/2013;310,87;294,92;294,92;346,59;386,21;348,53;349,17;387,02;286,75;286,75;286,75;294,92;294,92;294,92;344,93;;347,13;347,13
27/11/2013;267,43;267,16;267,16;267,16;267,16;279,72;260,34;261,91;268,10;267,65;268,10;267,16;267,16;267,16;301,80;;301,80;301,80
28/11/2013;256,11;249,34;249,34;249,34;249,34;251,07;232,32;242,53;261,68;254,88;261,68;249,34;249,34;249,34;261,20;;261,23;261,23
29/11/2013;274,12;285,39;285,39;285,39;308,50;298,09;254,89;308,50;265,92;261,34;265,92;285,39;285,39;285,39;311,12;;311,12;311,12
30/11/2013;267,45;271,49;271,49;271,49;290,38;271,49;231,18;290,87;262,64;262,64;262,64;271,49;271,49;271,49;305,92;;305,92;305,92
01/12/2013;251,18;253,01;253,01;253,01;253,01;253,01;178,10;231,10;252,95;252,93;252,95;253,01;253,01;253,01;266,15;;266,15;266,15
02/12/2013;313,53;310,15;310,15;333,63;371,48;372,48;350,08;375,92;272,41;272,41;271,80;298,44;298,44;298,44;361,60;;361,60;361,60
03/12/2013;270,78;271,47;271,47;271,47;276,61;282,50;274,05;276,61;268,29;268,29;267,15;271,47;271,47;271,47;284,31;;284,31;284,31
04/12/2013;263,89;263,19;263,19;263,19;263,70;278,96;261,10;262,65;263,61;263,30;263,61;263,19;263,19;263,19;302,13;;302,13;302,13
05/12/2013;257,59;257,91;257,91;257,91;257,91;280,47;233,27;246,84;258,88;255,45;258,88;257,91;257,91;257,91;290,45;;290,45;290,45
06/12/2013;254,72;256,92;256,92;256,92;256,92;260,83;198,69;218,21;257,25;252,55;257,25;256,92;256,92;256,92;281,48;;281,48;281,48
07/12/2013;264,70;269,51;269,51;269,51;269,51;283,31;223,07;242,27;259,36;259,36;259,36;269,33;269,33;269,33;283,31;;283,31;283,31
08/12/2013;265,61;279,78;279,78;279,78;279,78;303,44;228,24;240,79;260,34;259,08;260,34;279,78;279,78;279,78;303,66;;303,66;303,66
09/12/2013;321,46;320,74;320,74;348,87;351,68;439,14;324,15;341,05;314,74;276,40;276,04;320,30;320,30;320,30;439,14;;439,41;439,41
10/12/2013;287,29;286,38;286,38;286,72;308,91;365,86;290,65;321,54;272,85;272,85;272,85;284,89;284,89;284,89;365,86;;368,57;368,57
11/12/2013;270,92;266,44;266,44;268,48;315,75;281,97;354,88;414,38;266,47;266,47;266,47;266,44;266,44;266,44;315,61;;355,16;355,16
12/12/2013;254,49;253,47;253,47;253,47;257,21;276,04;253,47;257,21;253,47;253,16;251,79;253,47;253,47;253,47;290,58;;290,99;290,99
13/12/2013;255,27;254,54;254,54;254,54;353,69;274,41;257,43;438,96;247,83;247,77;247,83;254,36;254,36;254,36;308,35;;360,08;360,08
14/12/2013;242,85;241,46;241,46;241,46;242,28;275,96;228,55;242,28;240,98;240,98;240,98;241,46;241,46;241,46;318,01;;338,30;338,30
15/12/2013;229,67;230,34;230,34;230,34;230,34;238,20;175,32;230,34;230,34;230,34;230,34;230,34;230,34;230,34;243,32;;252,91;252,91
16/12/2013;234,90;232,20;232,20;232,20;232,20;309,53;218,86;232,20;232,20;232,20;232,20;232,20;232,20;232,20;309,53;;310,13;310,13
17/12/2013;244,68;248,15;248,15;261,78;299,04;281,84;305,16;307,70;234,78;234,78;234,78;240,18;240,18;240,18;286,30;;297,35;297,35
18/12/2013;249,97;261,51;261,51;262,52;268,87;285,46;262,52;268,87;243,75;243,75;238,93;242,24;242,24;242,14;286,66;;290,54;290,54
19/12/2013;232,86;231,98;231,98;231,98;231,98;267,66;225,69;226,64;231,25;231,25;231,25;231,98;231,98;231,98;267,66;;272,41;272,41
20/12/2013;233,50;232,59;232,59;232,59;232,59;267,42;232,59;232,59;232,59;232,59;232,48;232,59;232,59;232,59;300,75;;300,75;300,75
21/12/2013;216,13;216,52;216,52;216,52;216,52;222,57;172,11;185,57;217,18;217,18;217,18;216,52;216,52;216,52;253,25;;253,25;253,25
22/12/2013;206,50;210,46;210,46;210,46;210,46;214,30;27,14;93,02;212,93;212,93;212,93;210,46;210,46;210,46;232,46;;232,46;232,46
23/12/2013;219,41;217,94;217,94;217,94;217,94;223,21;162,91;175,16;224,89;224,89;224,89;217,94;217,94;217,94;223,30;;223,30;223,30
24/12/2013;204,06;205,12;205,12;205,12;205,12;205,12;-46,86;-27,06;215,86;215,86;215,86;205,12;205,12;205,12;206,09;;206,09;206,09
25/12/2013;210,90;198,32;198,32;198,32;198,32;198,32;155,81;155,81;219,23;219,23;219,23;198,32;198,32;198,32;198,32;;198,34;198,34
26/12/2013;219,79;215,33;215,33;215,33;215,33;215,33;215,33;215,87;222,55;222,55;222,55;215,33;215,33;215,33;215,33;;215,33;215,33
27/12/2013;220,28;220,90;220,90;220,90;220,90;225,53;174,05;187,22;222,20;222,20;222,20;220,90;220,90;220,90;225,53;;225,53;225,53
28/12/2013;208,11;195,11;195,11;195,11;195,11;195,55;146,21;155,78;218,30;218,30;218,30;195,11;195,11;195,11;195,55;;195,55;195,55
29/12/2013;212,51;206,18;206,18;206,18;206,18;206,18;188,68;188,77;217,50;217,50;217,50;206,18;206,18;206,18;206,20;;206,20;206,20
30/12/2013;219,71;215,20;215,20;215,20;215,20;233,51;203,03;203,80;222,46;222,46;222,46;215,20;215,20;215,20;233,51;;233,51;233,51
31/12/2013;216,21;213,62;213,62;213,62;213,62;225,50;186,28;186,50;219,30;219,30;219,30;213,62;213,62;213,62;225,50;;229,03;229,03
