Consumption DK areas in MWh;;;
Data was last updated 11-01-2018;;;
;DK1;DK2;DK
01/01/2016;46149;34131;80280
02/01/2016;49030;37561;86591
03/01/2016;51967;38080;90047
04/01/2016;62374;43459;105833
05/01/2016;63997;44224;108221
06/01/2016;64965;44315;109280
07/01/2016;65388;42860;108248
08/01/2016;62313;43089;105402
09/01/2016;53551;38803;92354
10/01/2016;52184;38575;90759
11/01/2016;61299;40355;101654
12/01/2016;62585;40326;102911
13/01/2016;62475;41346;103821
14/01/2016;65471;42147;107618
15/01/2016;64293;43088;107381
16/01/2016;56325;41709;98034
17/01/2016;55838;40703;96541
18/01/2016;66052;45194;111246
19/01/2016;66204;44433;110637
20/01/2016;68437;43780;112217
21/01/2016;69070;45152;114222
22/01/2016;64713;45207;109920
23/01/2016;56041;40974;97015
24/01/2016;53429;38747;92176
25/01/2016;61958;41365;103323
26/01/2016;61481;40788;102269
27/01/2016;59075;41616;100691
28/01/2016;57902;40974;98876
29/01/2016;58938;41202;100140
30/01/2016;50674;36069;86743
31/01/2016;51064;38032;89096
01/02/2016;61591;42463;104054
02/02/2016;59598;42768;102366
03/02/2016;59986;42689;102675
04/02/2016;60842;42328;103170
05/02/2016;60733;41660;102393
06/02/2016;50815;37209;88024
07/02/2016;48904;36057;84961
08/02/2016;59605;40703;100308
09/02/2016;61608;40667;102275
10/02/2016;63364;42011;105375
11/02/2016;63041;41270;104311
12/02/2016;60775;40616;101391
13/02/2016;53070;38201;91271
14/02/2016;51584;37695;89279
15/02/2016;61786;41176;102962
16/02/2016;62715;41359;104074
17/02/2016;61214;42116;103330
18/02/2016;63349;42247;105596
19/02/2016;58941;41564;100505
20/02/2016;48483;37325;85808
21/02/2016;47746;34840;82586
22/02/2016;55314;40146;95460
23/02/2016;57185;40654;97839
24/02/2016;58793;41236;100029
25/02/2016;60808;41164;101972
26/02/2016;57187;40278;97465
27/02/2016;51281;38262;89543
28/02/2016;50748;38426;89174
29/02/2016;61581;41518;103099
01/03/2016;60214;42500;102714
02/03/2016;61997;42023;104020
03/03/2016;62040;41362;103402
04/03/2016;60391;40562;100953
05/03/2016;51171;37111;88282
06/03/2016;51565;37502;89067
07/03/2016;61826;40995;102821
08/03/2016;62769;41266;104035
09/03/2016;60646;40691;101337
10/03/2016;61744;41080;102824
11/03/2016;59701;40466;100167
12/03/2016;51766;38107;89873
13/03/2016;50176;37197;87373
14/03/2016;59501;40295;99796
15/03/2016;58411;39511;97922
16/03/2016;58200;39414;97614
17/03/2016;58638;38855;97493
18/03/2016;57498;38408;95906
19/03/2016;48643;35373;84016
20/03/2016;46371;34010;80381
21/03/2016;55241;37751;92992
22/03/2016;57036;38471;95507
23/03/2016;55050;38045;93095
24/03/2016;48730;34701;83431
25/03/2016;46421;34110;80531
26/03/2016;44600;33193;77793
27/03/2016;42807;31509;74316
28/03/2016;43745;33475;77220
29/03/2016;54243;36911;91154
30/03/2016;58195;38443;96638
31/03/2016;56409;37626;94035
01/04/2016;55165;37059;92224
02/04/2016;45928;33022;78950
03/04/2016;46414;32811;79225
04/04/2016;56490;36482;92972
05/04/2016;58370;37140;95510
06/04/2016;56762;35504;92266
07/04/2016;57576;36860;94436
08/04/2016;53987;36329;90316
09/04/2016;46701;32525;79226
10/04/2016;44492;32231;76723
11/04/2016;54486;35985;90471
12/04/2016;56417;36536;92953
13/04/2016;56818;36589;93407
14/04/2016;56524;36954;93478
15/04/2016;54197;36504;90701
16/04/2016;46494;33285;79779
17/04/2016;43644;33323;76967
18/04/2016;55186;36663;91849
19/04/2016;54564;36713;91277
20/04/2016;55176;35632;90808
21/04/2016;53120;35368;88488
22/04/2016;45473;31354;76827
