Consumption DK areas in MWh;;;
Data was last updated 11-01-2018;;;
;DK1;DK2;DK
23/04/2016;44557;31437;75994
24/04/2016;45470;32029;77499
25/04/2016;56776;36262;93038
26/04/2016;56060;37692;93752
27/04/2016;56145;37824;93969
28/04/2016;57362;37030;94392
29/04/2016;53661;35817;89478
30/04/2016;46053;31875;77928
01/05/2016;45317;30824;76141
02/05/2016;53692;34531;88223
03/05/2016;54929;34767;89696
04/05/2016;54130;34315;88445
05/05/2016;44430;30255;74685
06/05/2016;44157;30958;75115
07/05/2016;40286;28486;68772
08/05/2016;40296;28205;68501
09/05/2016;51195;32787;83982
10/05/2016;53109;33547;86656
11/05/2016;52792;33629;86421
12/05/2016;53071;33691;86762
13/05/2016;50699;32671;83370
14/05/2016;42405;29195;71600
15/05/2016;41303;29007;70310
16/05/2016;41215;29995;71210
17/05/2016;50113;33623;83736
18/05/2016;54200;34647;88847
19/05/2016;54992;34766;89758
20/05/2016;51986;34013;85999
21/05/2016;44076;29737;73813
22/05/2016;42312;28777;71089
23/05/2016;54462;33130;87592
24/05/2016;54395;33823;88218
25/05/2016;52130;33514;85644
26/05/2016;53562;33574;87136
27/05/2016;51060;32577;83637
28/05/2016;42694;28860;71554
29/05/2016;41525;28681;70206
30/05/2016;52125;34113;86238
31/05/2016;53479;34138;87617
01/06/2016;54534;34191;88725
02/06/2016;55472;34444;89916
03/06/2016;53757;33399;87156
04/06/2016;45707;29662;75369
05/06/2016;44351;28562;72913
06/06/2016;55031;32931;87962
07/06/2016;55999;33486;89485
08/06/2016;54983;33613;88596
09/06/2016;54989;33607;88596
10/06/2016;51590;32552;84142
11/06/2016;44517;28841;73358
12/06/2016;43356;28871;72227
13/06/2016;53622;33201;86823
14/06/2016;55011;34440;89451
15/06/2016;56961;34206;91167
16/06/2016;56025;35703;91728
17/06/2016;52114;34639;86753
18/06/2016;41689;30948;72637
19/06/2016;40587;30306;70893
20/06/2016;52289;34118;86407
21/06/2016;53344;35155;88499
22/06/2016;53753;35189;88942
23/06/2016;54692;34711;89403
24/06/2016;52009;34501;86510
25/06/2016;44037;31412;75449
26/06/2016;40492;30723;71215
27/06/2016;52264;34227;86491
28/06/2016;53731;34537;88268
29/06/2016;54441;34927;89368
30/06/2016;52966;34606;87572
01/07/2016;49453;34370;83823
02/07/2016;40068;29852;69920
03/07/2016;40743;30132;70875
04/07/2016;49940;32989;82929
05/07/2016;52755;34260;87015
06/07/2016;49143;34478;83621
07/07/2016;49749;32867;82616
08/07/2016;50075;32899;82974
09/07/2016;39309;29496;68805
10/07/2016;40909;29789;70698
11/07/2016;48992;33193;82185
12/07/2016;48862;32463;81325
13/07/2016;48062;32362;80424
14/07/2016;49790;33068;82858
15/07/2016;44778;32768;77546
16/07/2016;38371;29078;67449
17/07/2016;37558;28389;65947
18/07/2016;44203;31035;75238
19/07/2016;45712;30851;76563
20/07/2016;45827;31341;77168
21/07/2016;45301;30882;76183
22/07/2016;45344;30778;76122
23/07/2016;40465;28453;68918
24/07/2016;39124;28832;67956
25/07/2016;45868;31609;77477
26/07/2016;44891;31245;76136
27/07/2016;45447;31051;76498
28/07/2016;45739;31352;77091
29/07/2016;45483;31618;77101
30/07/2016;39496;29588;69084
31/07/2016;38705;28519;67224
01/08/2016;45751;31683;77434
02/08/2016;47756;31803;79559
03/08/2016;48073;33643;81716
04/08/2016;47486;33473;80959
05/08/2016;45598;32701;78299
06/08/2016;38130;30316;68446
07/08/2016;39804;30408;70212
08/08/2016;48874;34724;83598
09/08/2016;49317;34407;83724
10/08/2016;51129;35831;86960
11/08/2016;52079;35800;87879
12/08/2016;50499;34388;84887
13/08/2016;40652;30908;71560
14/08/2016;40246;30782;71028
15/08/2016;51663;34465;86128
16/08/2016;53647;35169;88816
17/08/2016;53929;35420;89349
18/08/2016;53323;35341;88664
19/08/2016;52344;34936;87280
20/08/2016;43944;33046;76990
21/08/2016;42839;31709;74548
22/08/2016;53784;35446;89230
23/08/2016;54885;35643;90528
24/08/2016;54491;35437;89928
25/08/2016;54715;35822;90537
26/08/2016;50683;35188;85871
27/08/2016;42490;30308;72798
28/08/2016;41785;31192;72977
29/08/2016;49965;35021;84986
30/08/2016;52453;35688;88141
31/08/2016;53844;35871;89715
01/09/2016;53524;34302;87826
02/09/2016;50909;33228;84137
03/09/2016;42016;29596;71612
04/09/2016;43197;30393;73590
05/09/2016;53061;33678;86739
06/09/2016;53105;34960;88065
07/09/2016;55768;35029;90797
08/09/2016;54648;34553;89201
09/09/2016;52347;34079;86426
10/09/2016;42594;30135;72729
11/09/2016;41445;29736;71181
12/09/2016;52898;33924;86822
13/09/2016;54772;34824;89596
14/09/2016;54880;34578;89458
15/09/2016;54755;34749;89504
16/09/2016;50808;33857;84665
17/09/2016;42736;29912;72648
18/09/2016;42402;29663;72065
19/09/2016;53984;33747;87731
20/09/2016;54726;34113;88839
21/09/2016;55228;34516;89744
22/09/2016;54031;34197;88228
23/09/2016;50807;33677;84484
24/09/2016;42936;29704;72640
25/09/2016;40551;29142;69693
26/09/2016;53503;34425;87928
27/09/2016;52970;34741;87711
28/09/2016;51068;34204;85272
29/09/2016;50929;34888;85817
30/09/2016;49023;34240;83263
01/10/2016;44116;30638;74754
02/10/2016;43361;31179;74540
03/10/2016;51444;35504;86948
04/10/2016;53311;35564;88875
05/10/2016;52395;35434;87829
06/10/2016;51409;36304;87713
07/10/2016;50189;35380;85569
08/10/2016;42060;31721;73781
09/10/2016;42205;32762;74967
10/10/2016;53217;37087;90304
11/10/2016;55307;37635;92942
12/10/2016;55929;37399;93328
13/10/2016;54715;37006;91721
14/10/2016;49167;35402;84569
15/10/2016;42156;32587;74743
16/10/2016;44310;33194;77504
17/10/2016;54211;36812;91023
18/10/2016;55698;37732;93430
19/10/2016;54853;37507;92360
20/10/2016;53046;36297;89343
21/10/2016;51174;36766;87940
22/10/2016;44582;34416;78998
23/10/2016;45956;33451;79407
24/10/2016;56470;37438;93908
25/10/2016;58722;38037;96759
26/10/2016;57506;38489;95995
27/10/2016;55752;36910;92662
28/10/2016;49720;36419;86139
29/10/2016;42327;32814;75141
30/10/2016;47991;33913;81904
31/10/2016;55991;38631;94622
01/11/2016;52925;37381;90306
02/11/2016;56304;38534;94838
03/11/2016;60025;39195;99220
04/11/2016;57470;38501;95971
05/11/2016;50135;34489;84624
06/11/2016;47188;34512;81700
07/11/2016;59829;40140;99969
08/11/2016;63183;41995;105178
09/11/2016;63250;41974;105224
10/11/2016;63670;42221;105891
11/11/2016;60522;41256;101778
12/11/2016;51637;37811;89448
13/11/2016;50590;36679;87269
14/11/2016;59417;41009;100426
15/11/2016;58858;40338;99196
16/11/2016;58807;39797;98604
17/11/2016;58971;38936;97907
18/11/2016;56935;38579;95514
19/11/2016;49096;36106;85202
20/11/2016;48924;34541;83465
21/11/2016;59076;38457;97533
22/11/2016;57922;39019;96941
23/11/2016;57735;39110;96845
24/11/2016;58398;39773;98171
25/11/2016;54510;39216;93726
26/11/2016;44728;33970;78698
27/11/2016;45527;33655;79182
28/11/2016;59395;41382;100777
29/11/2016;58910;41460;100370
30/11/2016;58299;41007;99306
01/12/2016;57736;40410;98146
02/12/2016;56834;39951;96785
03/12/2016;49075;37715;86790
04/12/2016;46712;36293;83005
05/12/2016;56130;40334;96464
06/12/2016;59694;41696;101390
07/12/2016;58337;41185;99522
08/12/2016;57095;39660;96755
09/12/2016;55034;38332;93366
10/12/2016;46463;36109;82572
11/12/2016;47311;36074;83385
12/12/2016;60071;40378;100449
13/12/2016;61023;41389;102412
14/12/2016;61846;41335;103181
15/12/2016;62000;40729;102729
16/12/2016;61067;41748;102815
17/12/2016;51279;38011;89290
18/12/2016;49505;37251;86756
19/12/2016;59385;41501;100886
20/12/2016;59839;41364;101203
21/12/2016;57481;41323;98804
22/12/2016;57012;40168;97180
23/12/2016;52397;37985;90382
24/12/2016;43684;35057;78741
25/12/2016;44827;34232;79059
26/12/2016;42829;33920;76749
27/12/2016;47640;37263;84903
28/12/2016;49319;37385;86704
29/12/2016;48359;36666;85025
30/12/2016;47323;37096;84419
31/12/2016;43061;33157;76218
