Consumption DK areas in MWh;;;
Data was last updated 01-01-2019;;;
;DK1;DK2;DK
18/08/2018;45702;28817;74519
19/08/2018;44967;28742;73709
20/08/2018;54441;32247;86688
21/08/2018;54393;32350;86743
22/08/2018;56086;32798;88884
23/08/2018;56610;33645;90255
24/08/2018;53407;32040;85447
25/08/2018;44409;28390;72799
26/08/2018;43402;27898;71300
27/08/2018;55854;32571;88425
28/08/2018;54768;32626;87394
29/08/2018;54575;32913;87488
30/08/2018;54500;34246;88746
31/08/2018;52475;32285;84760
01/09/2018;44651;28958;73609
02/09/2018;44444;28825;73269
03/09/2018;54410;32803;87213
04/09/2018;55537;33208;88745
05/09/2018;55507;34081;89588
06/09/2018;55661;33633;89294
07/09/2018;54507;33212;87719
08/09/2018;46421;28920;75341
09/09/2018;45310;28769;74079
10/09/2018;54233;33917;88150
11/09/2018;58870;34281;93151
12/09/2018;56347;34489;90836
13/09/2018;55533;34293;89826
14/09/2018;54081;33706;87787
15/09/2018;44942;29612;74554
16/09/2018;45516;30194;75710
17/09/2018;54531;34055;88586
18/09/2018;56377;34551;90928
19/09/2018;57530;34695;92225
20/09/2018;56407;34137;90544
21/09/2018;55073;33610;88683
22/09/2018;46769;29892;76661
23/09/2018;44910;30222;75132
24/09/2018;56484;34934;91418
25/09/2018;57134;35430;92564
26/09/2018;58780;36899;95679
27/09/2018;59951;36171;96122
28/09/2018;55007;34932;89939
29/09/2018;47133;30950;78083
30/09/2018;47001;30763;77764
01/10/2018;56903;35406;92309
02/10/2018;59891;39163;99054
03/10/2018;59815;36387;96202
04/10/2018;57619;36998;94617
05/10/2018;55462;35460;90922
06/10/2018;47922;32247;80169
07/10/2018;46929;31929;78858
08/10/2018;58341;36192;94533
09/10/2018;58650;36362;95012
10/10/2018;57245;36356;93601
11/10/2018;56214;35753;91967
12/10/2018;54135;34840;88975
13/10/2018;46308;31381;77689
14/10/2018;44941;30174;75115
15/10/2018;54589;34451;89040
16/10/2018;55455;35118;90573
17/10/2018;55585;35318;90903
18/10/2018;54607;35605;90212
19/10/2018;53239;35802;89041
20/10/2018;46421;32365;78786
21/10/2018;47576;32572;80148
22/10/2018;57198;35854;93052
23/10/2018;58289;37211;95500
24/10/2018;60089;37046;97135
25/10/2018;59136;36679;95815
26/10/2018;56797;36974;93771
27/10/2018;50051;34780;84831
28/10/2018;52473;36962;89435
29/10/2018;61056;39405;100461
30/10/2018;61655;38948;100603
31/10/2018;59885;38352;98237
01/11/2018;59402;38402;97804
02/11/2018;57139;37589;94728
03/11/2018;49722;35173;84895
04/11/2018;49324;35232;84556
05/11/2018;58748;38703;97451
06/11/2018;60511;38399;98910
07/11/2018;61038;38565;99603
08/11/2018;60303;38698;99001
09/11/2018;58516;38280;96796
10/11/2018;50666;34871;85537
11/11/2018;48680;33944;82624
12/11/2018;58507;39018;97525
13/11/2018;61167;38248;99415
14/11/2018;60850;38479;99329
15/11/2018;59422;38650;98072
16/11/2018;58258;37614;95872
17/11/2018;51494;36089;87583
18/11/2018;50238;36811;87049
19/11/2018;62542;40543;103085
20/11/2018;63938;41673;105611
21/11/2018;64129;41952;106081
22/11/2018;63086;42302;105388
23/11/2018;60708;43127;103835
24/11/2018;53635;38807;92442
25/11/2018;53384;38444;91828
26/11/2018;63765;43974;107739
27/11/2018;65307;43887;109194
28/11/2018;68115;43517;111632
29/11/2018;67725;44261;111986
30/11/2018;62319;41902;104221
01/12/2018;52809;37838;90647
02/12/2018;52701;37503;90204
03/12/2018;63066;40274;103340
04/12/2018;65126;41331;106457
05/12/2018;64479;40336;104815
06/12/2018;64810;40558;105368
07/12/2018;61656;37263;98919
08/12/2018;55843;37510;93353
09/12/2018;53445;37320;90765
10/12/2018;65386;40357;105743
11/12/2018;65216;41315;106531
12/12/2018;63759;42361;106120
13/12/2018;64990;43171;108161
14/12/2018;62679;42654;105333
15/12/2018;55267;37829;93096
16/12/2018;55789;39558;95347
17/12/2018;64361;43621;107982
18/12/2018;64338;42280;106618
19/12/2018;65012;41948;106960
20/12/2018;62574;40719;103293
21/12/2018;57897;41176;99073
22/12/2018;52987;39096;92083
23/12/2018;51499;39478;90977
24/12/2018;49095;38984;88079
25/12/2018;47609;37952;85561
26/12/2018;48789;37150;85939
27/12/2018;51160;38389;89549
28/12/2018;50704;37848;88552
29/12/2018;49312;36251;85563
30/12/2018;49528;37184;86712
31/12/2018;48243;37316;85559
