Consumption DK areas in MWh;;;
Data was last updated 01-01-2019;;;
;DK1;DK2;DK
01/01/2018;46041;36242;82283
02/01/2018;57064;40728;97792
03/01/2018;62314;42683;104997
04/01/2018;62999;42991;105990
05/01/2018;61364;43064;104428
06/01/2018;54096;40203;94299
07/01/2018;54122;41275;95397
08/01/2018;64373;45170;109543
09/01/2018;63353;39302;102655
10/01/2018;63223;43072;106295
11/01/2018;64011;42826;106837
12/01/2018;61412;41804;103216
13/01/2018;53860;38607;92467
14/01/2018;52813;38873;91686
15/01/2018;62957;42200;105157
16/01/2018;65007;42179;107186
17/01/2018;65198;43203;108401
18/01/2018;65062;43729;108791
19/01/2018;61903;43089;104992
20/01/2018;53367;39366;92733
21/01/2018;52472;39259;91731
22/01/2018;62873;43664;106537
23/01/2018;63321;43250;106571
24/01/2018;61678;40901;102579
25/01/2018;61004;40668;101672
26/01/2018;59851;41425;101276
27/01/2018;52649;37259;89908
28/01/2018;47965;37608;85573
29/01/2018;59251;40906;100157
30/01/2018;69817;41006;110823
31/01/2018;63510;42004;105514
01/02/2018;61685;42427;104112
02/02/2018;61562;42810;104372
03/02/2018;55869;40884;96753
04/02/2018;53245;39959;93204
05/02/2018;65062;45141;110203
06/02/2018;66301;47355;113656
07/02/2018;64999;47210;112209
08/02/2018;65208;45844;111052
09/02/2018;63211;44252;107463
10/02/2018;55848;41435;97283
11/02/2018;54142;38378;92520
12/02/2018;63325;40596;103921
13/02/2018;63603;44317;107920
14/02/2018;62860;43663;106523
15/02/2018;64857;41687;106544
16/02/2018;59756;40685;100441
17/02/2018;52584;38827;91411
18/02/2018;51726;37954;89680
19/02/2018;62378;42790;105168
20/02/2018;62274;43177;105451
21/02/2018;63114;43596;106710
22/02/2018;63001;43714;106715
23/02/2018;60865;44009;104874
24/02/2018;52488;39290;91778
25/02/2018;54007;40259;94266
26/02/2018;64081;44121;108202
27/02/2018;68386;44335;112721
28/02/2018;70689;45489;116178
01/03/2018;71194;45073;116267
02/03/2018;67347;45637;112984
03/03/2018;58868;41988;100856
04/03/2018;56004;39865;95869
05/03/2018;65410;43607;109017
06/03/2018;64216;43044;107260
07/03/2018;64189;44169;108358
08/03/2018;64419;44730;109149
09/03/2018;62486;43876;106362
10/03/2018;54428;39991;94419
11/03/2018;54214;39964;94178
12/03/2018;62624;43550;106174
13/03/2018;63569;44078;107647
14/03/2018;63819;43810;107629
15/03/2018;65493;44879;110372
16/03/2018;64378;45526;109904
17/03/2018;57995;42513;100508
18/03/2018;55278;40653;95931
19/03/2018;62692;42889;105581
20/03/2018;61609;41276;102885
21/03/2018;63223;42436;105659
22/03/2018;63710;42670;106380
23/03/2018;60646;42622;103268
24/03/2018;53030;38192;91222
25/03/2018;49727;35046;84773
26/03/2018;59515;39720;99235
27/03/2018;61262;41140;102402
28/03/2018;63427;40408;103835
29/03/2018;54846;37912;92758
30/03/2018;50863;37284;88147
31/03/2018;50459;36686;87145
01/04/2018;48633;35005;83638
02/04/2018;48904;35238;84142
03/04/2018;59854;40054;99908
04/04/2018;57830;36969;94799
05/04/2018;59361;37486;96847
06/04/2018;56651;37232;93883
07/04/2018;48869;33887;82756
08/04/2018;46610;32389;78999
09/04/2018;55926;35885;91811
10/04/2018;55305;36220;91525
11/04/2018;57849;36892;94741
12/04/2018;57433;35717;93150
13/04/2018;54557;34457;89014
14/04/2018;47653;33007;80660
15/04/2018;46973;33964;80937
16/04/2018;56607;37094;93701
17/04/2018;56244;36683;92927
18/04/2018;55121;34973;90094
19/04/2018;54992;35232;90224
20/04/2018;51225;33964;85189
21/04/2018;44243;30806;75049
22/04/2018;44117;32098;76215
23/04/2018;53864;34824;88688
24/04/2018;54794;35890;90684
25/04/2018;55795;36100;91895
26/04/2018;53358;35806;89164
27/04/2018;44519;32298;76817
28/04/2018;45370;31738;77108
29/04/2018;44711;31623;76334
30/04/2018;53702;34949;88651
01/05/2018;51893;34197;86090
02/05/2018;57793;35506;93299
03/05/2018;58582;35917;94499
04/05/2018;52972;35094;88066
05/05/2018;44807;31612;76419
06/05/2018;44250;30672;74922
07/05/2018;54401;34732;89133
08/05/2018;55798;34979;90777
09/05/2018;56506;34260;90766
10/05/2018;48104;30939;79043
11/05/2018;46548;32274;78822
12/05/2018;43308;30818;74126
13/05/2018;44746;30029;74775
14/05/2018;55200;34314;89514
15/05/2018;56123;34038;90161
16/05/2018;58920;34477;93397
17/05/2018;57850;34243;92093
18/05/2018;54411;33725;88136
19/05/2018;46058;29885;75943
20/05/2018;44942;28569;73511
21/05/2018;48716;29675;78391
22/05/2018;57674;33835;91509
23/05/2018;58369;34586;92955
24/05/2018;61614;33452;95066
25/05/2018;56541;33449;89990
26/05/2018;47707;29972;77679
27/05/2018;47149;29424;76573
28/05/2018;57401;33997;91398
29/05/2018;59209;34197;93406
30/05/2018;58876;34477;93353
31/05/2018;58744;33883;92627
01/06/2018;56509;33319;89828
02/06/2018;48399;29996;78395
03/06/2018;47158;30020;77178
04/06/2018;55608;33713;89321
05/06/2018;51584;31007;82591
06/06/2018;58349;33302;91651
07/06/2018;58932;33527;92459
08/06/2018;56714;33806;90520
09/06/2018;48674;30062;78736
10/06/2018;48065;30095;78160
11/06/2018;58094;33950;92044
12/06/2018;58436;34067;92503
13/06/2018;58647;34399;93046
14/06/2018;59443;34189;93632
15/06/2018;54575;32923;87498
16/06/2018;46766;29560;76326
17/06/2018;45454;29781;75235
18/06/2018;55160;33485;88645
19/06/2018;56204;33338;89542
20/06/2018;58129;33944;92073
21/06/2018;56089;33566;89655
22/06/2018;55896;33129;89025
23/06/2018;48742;29560;78302
24/06/2018;45958;29419;75377
25/06/2018;56794;33616;90410
26/06/2018;57468;33794;91262
27/06/2018;58435;33788;92223
28/06/2018;58209;34373;92582
29/06/2018;54955;33065;88020
30/06/2018;47746;29876;77622
01/07/2018;46585;29160;75745
02/07/2018;57042;32721;89763
03/07/2018;57760;33811;91571
04/07/2018;57250;33711;90961
05/07/2018;57362;33467;90829
06/07/2018;55434;33323;88757
07/07/2018;47125;30077;77202
08/07/2018;45465;30253;75718
09/07/2018;55847;33587;89434
10/07/2018;56035;33158;89193
11/07/2018;56956;33102;90058
12/07/2018;56655;33211;89866
13/07/2018;52740;32663;85403
14/07/2018;44058;28825;72883
15/07/2018;43627;28706;72333
16/07/2018;50598;32137;82735
17/07/2018;52071;33027;85098
18/07/2018;51692;32936;84628
19/07/2018;50118;31758;81876
20/07/2018;48252;31381;79633
21/07/2018;43299;28896;72195
22/07/2018;42492;29151;71643
23/07/2018;48465;32014;80479
24/07/2018;50606;32771;83377
25/07/2018;51280;33460;84740
26/07/2018;51624;33415;85039
27/07/2018;50479;32499;82978
28/07/2018;45853;30347;76200
29/07/2018;42758;30331;73089
30/07/2018;51119;33787;84906
31/07/2018;52494;33878;86372
01/08/2018;52248;34203;86451
02/08/2018;53369;33742;87111
03/08/2018;52033;33647;85680
04/08/2018;45664;30331;75995
05/08/2018;44871;29484;74355
06/08/2018;55251;33681;88932
07/08/2018;57267;34367;91634
08/08/2018;58262;34720;92982
09/08/2018;56855;34156;91011
10/08/2018;54912;32763;87675
11/08/2018;44735;28260;72995
12/08/2018;42934;28105;71039
13/08/2018;54619;33174;87793
14/08/2018;55561;32998;88559
15/08/2018;55144;33046;88190
16/08/2018;56488;33611;90099
17/08/2018;52594;33012;85606
