Consumption DK areas in MWh;;;
Data was last updated 12-11-2015;;;
;DK1;DK2;DK
01/01/2013;48656;36520;85176
02/01/2013;59227;41564;100791
03/01/2013;62627;42974;105601
04/01/2013;61522;42423;103945
05/01/2013;53306;37057;90363
06/01/2013;52335;37135;89470
07/01/2013;64298;41597;105895
08/01/2013;65176;41959;107135
09/01/2013;64904;42535;107439
10/01/2013;67009;44291;111300
11/01/2013;65356;43799;109155
12/01/2013;57334;40360;97694
13/01/2013;55293;39881;95174
14/01/2013;67487;45641;113128
15/01/2013;68632;45869;114501
16/01/2013;70932;47104;118036
17/01/2013;70093;47022;117115
18/01/2013;67165;47225;114390
19/01/2013;59138;42749;101887
20/01/2013;58229;42157;100386
21/01/2013;67576;47390;114966
22/01/2013;69905;46650;116555
23/01/2013;70497;45726;116223
24/01/2013;70269;45458;115727
25/01/2013;68287;46316;114603
26/01/2013;59777;43281;103058
27/01/2013;57190;41990;99180
28/01/2013;64583;44523;109106
29/01/2013;65760;44850;110610
30/01/2013;65735;44643;110378
31/01/2013;66544;44718;111262
01/02/2013;64151;43158;107309
02/02/2013;53866;39829;93695
03/02/2013;55097;40394;95491
04/02/2013;64583;45141;109724
05/02/2013;65182;44656;109838
06/02/2013;66308;44593;110901
07/02/2013;67149;44598;111747
08/02/2013;65267;43622;108889
09/02/2013;56713;40269;96982
10/02/2013;55629;39978;95607
11/02/2013;65370;44890;110260
12/02/2013;66874;45053;111927
13/02/2013;67516;43911;111427
14/02/2013;65208;44952;110160
15/02/2013;63257;43231;106488
16/02/2013;55249;38873;94122
17/02/2013;53081;38714;91795
18/02/2013;63676;43640;107316
19/02/2013;65071;44230;109301
20/02/2013;65682;45166;110848
21/02/2013;66516;43995;110511
22/02/2013;63571;43444;107015
23/02/2013;56580;40912;97492
24/02/2013;55516;40577;96093
25/02/2013;64003;43495;107498
26/02/2013;63027;43076;106103
27/02/2013;64971;42708;107679
28/02/2013;63200;42953;106153
01/03/2013;58709;40831;99540
02/03/2013;52517;39006;91523
03/03/2013;49101;36055;85156
04/03/2013;59581;40117;99698
05/03/2013;60100;40933;101033
06/03/2013;62207;40098;102305
07/03/2013;62240;43654;105894
08/03/2013;62238;44409;106647
09/03/2013;53881;40686;94567
10/03/2013;55437;42527;97964
11/03/2013;64242;45016;109258
12/03/2013;63790;42968;106758
13/03/2013;65061;43468;108529
14/03/2013;64778;43328;108106
15/03/2013;60729;42594;103323
16/03/2013;55427;40768;96195
17/03/2013;53477;40583;94060
18/03/2013;67551;47092;114643
19/03/2013;66619;45902;112521
20/03/2013;66365;44546;110911
21/03/2013;64875;44386;109261
22/03/2013;62958;44772;107730
23/03/2013;55789;41024;96813
24/03/2013;52567;38592;91159
25/03/2013;62432;42892;105324
26/03/2013;61260;43321;104581
27/03/2013;60735;42726;103461
28/03/2013;51890;37526;89416
29/03/2013;51550;37668;89218
30/03/2013;50554;36596;87150
31/03/2013;45125;32833;77958
01/04/2013;47609;34425;82034
02/04/2013;57258;37556;94814
03/04/2013;58434;38380;96814
04/04/2013;59462;38728;98190
05/04/2013;55916;38301;94217
06/04/2013;48039;34258;82297
07/04/2013;47992;35586;83578
08/04/2013;57140;37262;94402
09/04/2013;58562;40330;98892
10/04/2013;60259;40861;101120
11/04/2013;60840;40849;101689
12/04/2013;59078;39037;98115
13/04/2013;49430;34465;83895
14/04/2013;46287;33401;79688
15/04/2013;54774;36633;91407
16/04/2013;56339;35495;91834
17/04/2013;54343;35393;89736
18/04/2013;54892;37664;92556
19/04/2013;52641;37346;89987
20/04/2013;44907;31894;76801
21/04/2013;43846;30401;74247
22/04/2013;54235;35750;89985
23/04/2013;55992;38554;94546
24/04/2013;57219;36660;93879
25/04/2013;56637;35252;91889
26/04/2013;46608;32843;79451
27/04/2013;44161;31212;75373
28/04/2013;43164;30620;73784
29/04/2013;56341;36836;93177
30/04/2013;55792;37575;93367
01/05/2013;50110;34064;84174
02/05/2013;54184;34732;88916
03/05/2013;51733;34117;85850
04/05/2013;45335;30607;75942
05/05/2013;44286;30309;74595
06/05/2013;53752;34591;88343
07/05/2013;55203;34166;89369
08/05/2013;56937;35868;92805
09/05/2013;45540;31503;77043
10/05/2013;47763;32789;80552
11/05/2013;44782;31366;76148
12/05/2013;44172;31136;75308
13/05/2013;55450;35821;91271
14/05/2013;55096;34927;90023
15/05/2013;55678;34778;90456
16/05/2013;54538;34404;88942
17/05/2013;52022;34380;86402
18/05/2013;42147;30211;72358
19/05/2013;40563;29661;70224
20/05/2013;44259;29558;73817
21/05/2013;55165;34428;89593
22/05/2013;57177;37499;94676
23/05/2013;54227;35587;89814
24/05/2013;51425;33966;85391
25/05/2013;43540;31183;74723
26/05/2013;42226;31847;74073
27/05/2013;54091;33729;87820
28/05/2013;56062;35013;91075
29/05/2013;55708;36154;91862
30/05/2013;53893;35591;89484
31/05/2013;51601;34831;86432
01/06/2013;43286;29666;72952
02/06/2013;41824;31277;73101
03/06/2013;52072;34109;86181
04/06/2013;53959;33227;87186
05/06/2013;48013;29593;77606
06/06/2013;54514;32783;87297
07/06/2013;51580;32735;84315
08/06/2013;42627;29046;71673
09/06/2013;42037;28599;70636
10/06/2013;54745;32848;87593
11/06/2013;56679;33453;90132
12/06/2013;56242;33686;89928
13/06/2013;55154;35916;91070
14/06/2013;50630;35307;85937
15/06/2013;42204;30000;72204
16/06/2013;41807;30922;72729
17/06/2013;52269;32837;85106
18/06/2013;53866;33077;86943
19/06/2013;56191;34673;90864
20/06/2013;55744;34053;89797
21/06/2013;54419;35239;89658
22/06/2013;41405;31151;72556
23/06/2013;41598;29704;71302
24/06/2013;52539;33869;86408
25/06/2013;52172;33994;86166
26/06/2013;54079;36168;90247
27/06/2013;55305;34877;90182
28/06/2013;51798;33150;84948
29/06/2013;42854;30295;73149
30/06/2013;42186;30914;73100
01/07/2013;53381;33616;86997
02/07/2013;52952;32886;85838
03/07/2013;55157;33878;89035
04/07/2013;55842;33267;89109
05/07/2013;49879;32462;82341
06/07/2013;41082;27890;68972
07/07/2013;40777;27828;68605
08/07/2013;52170;32236;84406
09/07/2013;52633;32526;85159
10/07/2013;52971;33513;86484
11/07/2013;53583;32184;85767
12/07/2013;50886;31080;81966
13/07/2013;41148;27888;69036
14/07/2013;40275;28521;68796
15/07/2013;48226;31264;79490
16/07/2013;49252;31618;80870
17/07/2013;49122;31248;80370
18/07/2013;48392;31372;79764
19/07/2013;46777;31253;78030
20/07/2013;41289;27273;68562
21/07/2013;40432;27126;67558
22/07/2013;48432;30832;79264
23/07/2013;48458;30480;78938
24/07/2013;47634;30809;78443
25/07/2013;49585;31633;81218
26/07/2013;48097;31455;79552
27/07/2013;42752;28918;71670
28/07/2013;41064;29078;70142
29/07/2013;48208;32214;80422
30/07/2013;49713;33521;83234
31/07/2013;48661;33090;81751
01/08/2013;50725;32377;83102
02/08/2013;47347;32403;79750
03/08/2013;41811;30108;71919
04/08/2013;40267;28800;69067
05/08/2013;52465;33535;86000
06/08/2013;54054;35160;89214
07/08/2013;52755;33922;86677
08/08/2013;55047;36443;91490
09/08/2013;49279;34219;83498
10/08/2013;42281;31455;73736
11/08/2013;40008;30476;70484
12/08/2013;51189;34704;85893
13/08/2013;51240;35723;86963
14/08/2013;51718;36903;88621
15/08/2013;53057;34540;87597
16/08/2013;51950;34651;86601
17/08/2013;42773;30686;73459
18/08/2013;40986;31105;72091
19/08/2013;52244;34371;86615
20/08/2013;53079;34628;87707
21/08/2013;54604;35346;89950
22/08/2013;55491;34880;90371
23/08/2013;51683;33507;85190
24/08/2013;41781;30336;72117
25/08/2013;41167;30161;71328
26/08/2013;53889;34376;88265
27/08/2013;55373;34576;89949
28/08/2013;54549;34417;88966
29/08/2013;54696;34609;89305
30/08/2013;53192;34211;87403
31/08/2013;42005;31053;73058
01/09/2013;41383;31562;72945
02/09/2013;54638;37298;91936
03/09/2013;54756;35141;89897
04/09/2013;56235;35237;91472
05/09/2013;55426;35120;90546
06/09/2013;51494;35908;87402
07/09/2013;43523;31426;74949
08/09/2013;43115;31175;74290
09/09/2013;56332;36384;92716
10/09/2013;54133;35170;89303
11/09/2013;55240;35323;90563
12/09/2013;56381;35634;92015
13/09/2013;53340;34186;87526
14/09/2013;44701;30732;75433
15/09/2013;44074;31674;75748
16/09/2013;54189;36852;91041
17/09/2013;56003;36687;92690
18/09/2013;55916;36268;92184
19/09/2013;55500;35601;91101
20/09/2013;53440;34900;88340
21/09/2013;44116;31548;75664
22/09/2013;44358;33207;77565
23/09/2013;54251;36636;90887
24/09/2013;54909;35800;90709
25/09/2013;55767;35916;91683
26/09/2013;55383;35737;91120
27/09/2013;52490;35230;87720
28/09/2013;43873;32001;75874
29/09/2013;43674;31837;75511
30/09/2013;55214;36877;92091
01/10/2013;55877;36406;92283
02/10/2013;56400;36986;93386
03/10/2013;55802;38508;94310
04/10/2013;54521;38449;92970
05/10/2013;45797;33128;78925
06/10/2013;43520;32150;75670
07/10/2013;54760;36374;91134
08/10/2013;56744;36941;93685
09/10/2013;58463;37665;96128
10/10/2013;57468;37325;94793
11/10/2013;56014;38439;94453
12/10/2013;47201;35171;82372
13/10/2013;45514;33650;79164
14/10/2013;55146;35879;91025
15/10/2013;56782;36783;93565
16/10/2013;56616;37838;94454
17/10/2013;57263;40095;97358
18/10/2013;53800;38488;92288
19/10/2013;46862;34611;81473
20/10/2013;46925;33808;80733
21/10/2013;59216;38362;97578
22/10/2013;56690;38331;95021
23/10/2013;61098;39638;100736
24/10/2013;58067;39446;97513
25/10/2013;56572;38267;94839
26/10/2013;48018;34492;82510
27/10/2013;49405;36341;85746
28/10/2013;59312;40069;99381
29/10/2013;58429;40842;99271
30/10/2013;59336;39824;99160
31/10/2013;60796;40838;101634
01/11/2013;56362;39454;95816
02/11/2013;48672;34540;83212
03/11/2013;47564;36283;83847
04/11/2013;58083;40575;98658
05/11/2013;59389;40275;99664
06/11/2013;60704;40129;100833
07/11/2013;60031;40499;100530
08/11/2013;57018;38901;95919
09/11/2013;51291;38458;89749
10/11/2013;49375;35902;85277
11/11/2013;60629;39402;100031
12/11/2013;62383;42643;105026
13/11/2013;60194;40554;100748
14/11/2013;62557;40476;103033
15/11/2013;59181;39785;98966
16/11/2013;49011;37349;86360
17/11/2013;47543;35240;82783
18/11/2013;61946;40684;102630
19/11/2013;62119;40572;102691
20/11/2013;62588;40875;103463
21/11/2013;63594;41091;104685
22/11/2013;61568;40714;102282
23/11/2013;51550;36324;87874
24/11/2013;49692;36889;86581
25/11/2013;63566;41735;105301
26/11/2013;64772;42464;107236
27/11/2013;60826;43656;104482
28/11/2013;60343;43785;104128
29/11/2013;60672;42340;103012
30/11/2013;50882;37103;87985
01/12/2013;48811;38194;87005
02/12/2013;62761;41450;104211
03/12/2013;62439;42813;105252
04/12/2013;61420;43987;105407
05/12/2013;66230;45754;111984
06/12/2013;64119;45617;109736
07/12/2013;54153;41786;95939
08/12/2013;52601;41081;93682
09/12/2013;64221;42495;106716
10/12/2013;62486;42661;105147
11/12/2013;62762;42557;105319
12/12/2013;61665;42793;104458
13/12/2013;60853;41860;102713
14/12/2013;51053;38248;89301
15/12/2013;49802;39269;89071
16/12/2013;61113;44176;105289
17/12/2013;62536;42420;104956
18/12/2013;63559;42896;106455
19/12/2013;62005;44029;106034
20/12/2013;58402;42789;101191
21/12/2013;53760;41011;94771
22/12/2013;51642;40463;92105
23/12/2013;54774;42413;97187
24/12/2013;50030;40125;90155
25/12/2013;46066;35335;81401
26/12/2013;47859;35377;83236
27/12/2013;53899;39987;93886
28/12/2013;49557;37650;87207
29/12/2013;48488;36927;85415
30/12/2013;52775;40190;92965
31/12/2013;48977;38148;87125
