Consumption DK areas in MWh;;;
Data was last updated 01-01-2019;;;
;DK1;DK2;DK
01/01/2017;42832;32166;74998
02/01/2017;56511;39227;95738
03/01/2017;57001;39635;96636
04/01/2017;56058;40868;96926
05/01/2017;63537;44232;107769
06/01/2017;61096;45709;106805
07/01/2017;50895;39848;90743
08/01/2017;50723;38509;89232
09/01/2017;58097;41682;99779
10/01/2017;58545;42179;100724
11/01/2017;55611;42573;98184
12/01/2017;57164;41323;98487
13/01/2017;58929;41708;100637
14/01/2017;49037;38518;87555
15/01/2017;50322;37427;87749
16/01/2017;62694;42748;105442
17/01/2017;63429;43757;107186
18/01/2017;59872;42001;101873
19/01/2017;58978;40890;99868
20/01/2017;54320;40182;94502
21/01/2017;49172;37797;86969
22/01/2017;49352;37311;86663
23/01/2017;59051;41659;100710
24/01/2017;59883;41270;101153
25/01/2017;60251;42419;102670
26/01/2017;62853;42796;105649
27/01/2017;57729;41160;98889
28/01/2017;49317;37547;86864
29/01/2017;48610;37028;85638
30/01/2017;60153;40751;100904
31/01/2017;60558;41394;101952
01/02/2017;59878;41653;101531
02/02/2017;60178;41638;101816
03/02/2017;58081;41082;99163
04/02/2017;50350;37268;87618
05/02/2017;48912;36675;85587
06/02/2017;58678;41018;99696
07/02/2017;60363;43192;103555
08/02/2017;61454;43768;105222
09/02/2017;63716;43855;107571
10/02/2017;60411;42549;102960
11/02/2017;49828;37703;87531
12/02/2017;49942;36916;86858
13/02/2017;62465;42339;104804
14/02/2017;61160;42096;103256
15/02/2017;60318;41264;101582
16/02/2017;58555;40367;98922
17/02/2017;56601;39426;96027
18/02/2017;47012;35767;82779
19/02/2017;45036;34728;79764
20/02/2017;54514;39014;93528
21/02/2017;53603;38546;92149
22/02/2017;54497;39262;93759
23/02/2017;59050;40090;99140
24/02/2017;55179;39543;94722
25/02/2017;48909;36786;85695
26/02/2017;48432;34834;83266
27/02/2017;56084;38164;94248
28/02/2017;56554;38718;95272
01/03/2017;57863;41783;99646
02/03/2017;58678;41862;100540
03/03/2017;56033;40680;96713
04/03/2017;48109;37736;85845
05/03/2017;48985;37909;86894
06/03/2017;58571;40631;99202
07/03/2017;62286;42105;104391
08/03/2017;62047;41291;103338
09/03/2017;60343;39467;99810
10/03/2017;55018;37678;92696
11/03/2017;48279;34298;82577
12/03/2017;47105;35030;82135
13/03/2017;58957;38914;97871
14/03/2017;57210;38176;95386
15/03/2017;56587;37483;94070
16/03/2017;56540;37461;94001
17/03/2017;54023;37198;91221
18/03/2017;48738;35590;84328
19/03/2017;51253;36245;87498
20/03/2017;58009;38689;96698
21/03/2017;55908;37729;93637
22/03/2017;56389;37672;94061
23/03/2017;58995;38083;97078
24/03/2017;55244;37567;92811
25/03/2017;46236;33244;79480
26/03/2017;45754;31756;77510
27/03/2017;54941;36140;91081
28/03/2017;57455;36864;94319
29/03/2017;58343;37672;96015
30/03/2017;57703;37728;95431
31/03/2017;53879;35183;89062
01/04/2017;45610;31231;76841
02/04/2017;45970;31100;77070
03/04/2017;54913;35112;90025
04/04/2017;56355;36144;92499
05/04/2017;53869;35875;89744
06/04/2017;55125;35719;90844
07/04/2017;50506;34921;85427
08/04/2017;44052;32256;76308
09/04/2017;43277;31287;74564
10/04/2017;49655;34299;83954
11/04/2017;51885;35292;87177
12/04/2017;51536;35595;87131
13/04/2017;43652;32053;75705
14/04/2017;43885;31444;75329
15/04/2017;46032;33341;79373
16/04/2017;46197;32135;78332
17/04/2017;45825;32680;78505
