Consumption DK areas in MWh;;;
Data was last updated 01-01-2019;;;
;DK1;DK2;DK
18/04/2017;55302;36289;91591
19/04/2017;57940;37354;95294
20/04/2017;54260;36363;90623
21/04/2017;50267;35817;86084
22/04/2017;45107;32988;78095
23/04/2017;43230;32158;75388
24/04/2017;47982;37057;85039
25/04/2017;54635;36154;90789
26/04/2017;58938;36540;95478
27/04/2017;53422;35827;89249
28/04/2017;55351;35876;91227
29/04/2017;46502;33354;79856
30/04/2017;43167;31215;74382
01/05/2017;46372;33327;79699
02/05/2017;51508;34572;86080
03/05/2017;52362;34671;87033
04/05/2017;49913;34580;84493
05/05/2017;50387;35127;85514
06/05/2017;44178;31115;75293
07/05/2017;42426;30567;72993
08/05/2017;48980;33733;82713
09/05/2017;56045;35178;91223
10/05/2017;57280;36771;94051
11/05/2017;55385;36471;91856
12/05/2017;42840;30156;72996
13/05/2017;42804;29604;72408
14/05/2017;42617;29750;72367
15/05/2017;52250;33727;85977
16/05/2017;54834;34060;88894
17/05/2017;55383;33962;89345
18/05/2017;53305;33572;86877
19/05/2017;51219;32918;84137
20/05/2017;42497;28541;71038
21/05/2017;42022;28910;70932
22/05/2017;53485;33022;86507
23/05/2017;54820;33489;88309
24/05/2017;52111;32810;84921
25/05/2017;44326;28858;73184
26/05/2017;46846;30800;77646
27/05/2017;43785;28864;72649
28/05/2017;43592;27706;71298
29/05/2017;55179;33052;88231
30/05/2017;56150;33402;89552
31/05/2017;52211;32592;84803
01/06/2017;53229;32620;85849
02/06/2017;53469;33167;86636
03/06/2017;45817;28863;74680
04/06/2017;42240;28776;71016
05/06/2017;43587;28916;72503
06/06/2017;52523;32879;85402
07/06/2017;55799;33534;89333
08/06/2017;53207;33245;86452
09/06/2017;52434;32529;84963
10/06/2017;42550;28754;71304
11/06/2017;42123;28689;70812
12/06/2017;51549;32559;84108
13/06/2017;51766;32511;84277
14/06/2017;53033;32402;85435
15/06/2017;54085;33545;87630
16/06/2017;51136;33052;84188
17/06/2017;42504;29100;71604
18/06/2017;42977;29122;72099
19/06/2017;55219;34049;89268
20/06/2017;55193;32805;87998
21/06/2017;55762;32481;88243
22/06/2017;57189;33454;90643
23/06/2017;53844;32700;86544
24/06/2017;44194;28496;72690
25/06/2017;43235;27885;71120
26/06/2017;52318;31627;83945
27/06/2017;53688;32491;86179
28/06/2017;53295;32622;85917
29/06/2017;54848;32610;87458
30/06/2017;51964;33014;84978
01/07/2017;42487;29366;71853
02/07/2017;41737;28493;70230
03/07/2017;52495;31655;84150
04/07/2017;53465;32549;86014
05/07/2017;53260;32809;86069
06/07/2017;53847;32600;86447
07/07/2017;52200;31976;84176
08/07/2017;42861;28288;71149
09/07/2017;42234;27547;69781
10/07/2017;53117;31859;84976
11/07/2017;53651;31822;85473
12/07/2017;53441;32021;85462
13/07/2017;52006;31381;83387
14/07/2017;49645;30847;80492
15/07/2017;42162;27702;69864
16/07/2017;41087;27528;68615
17/07/2017;46090;29911;76001
18/07/2017;46853;30579;77432
19/07/2017;46945;30819;77764
20/07/2017;47850;30428;78278
21/07/2017;46695;31173;77868
22/07/2017;40468;27257;67725
23/07/2017;40473;27905;68378
24/07/2017;46148;31098;77246
25/07/2017;46152;30589;76741
26/07/2017;46497;30515;77012
27/07/2017;46959;30786;77745
28/07/2017;45173;29994;75167
29/07/2017;41232;28024;69256
30/07/2017;41094;28640;69734
31/07/2017;47946;31764;79710
01/08/2017;48851;32488;81339
02/08/2017;48913;32567;81480
03/08/2017;51089;33001;84090
04/08/2017;48703;32124;80827
05/08/2017;41969;28434;70403
06/08/2017;40946;28199;69145
07/08/2017;52016;32612;84628
08/08/2017;53439;33005;86444
09/08/2017;54344;34470;88814
10/08/2017;53759;34855;88614
11/08/2017;51729;33831;85560
12/08/2017;43720;29998;73718
13/08/2017;42214;28943;71157
14/08/2017;53277;33637;86914
15/08/2017;54703;32935;87638
16/08/2017;55154;34348;89502
17/08/2017;55769;33975;89744
18/08/2017;53900;33571;87471
19/08/2017;45281;29456;74737
20/08/2017;44155;29243;73398
21/08/2017;54198;33968;88166
22/08/2017;56945;35119;92064
23/08/2017;58171;35563;93734
24/08/2017;56037;34329;90366
25/08/2017;53448;33144;86592
26/08/2017;45581;30704;76285
27/08/2017;44463;30275;74738
28/08/2017;55513;34840;90353
29/08/2017;56186;34521;90707
30/08/2017;56388;35472;91860
31/08/2017;55706;34959;90665
01/09/2017;53181;33515;86696
02/09/2017;45074;30241;75315
03/09/2017;44561;30195;74756
04/09/2017;54600;34227;88827
05/09/2017;55851;34939;90790
06/09/2017;57406;35121;92527
07/09/2017;56694;35235;91929
08/09/2017;53897;33835;87732
09/09/2017;45465;31594;77059
10/09/2017;45142;29831;74973
11/09/2017;55529;33819;89348
12/09/2017;56343;33691;90034
13/09/2017;56383;34666;91049
14/09/2017;56348;34589;90937
15/09/2017;53447;33625;87072
16/09/2017;46023;31163;77186
17/09/2017;45276;31361;76637
18/09/2017;55169;35913;91082
19/09/2017;56580;35214;91794
20/09/2017;56808;35254;92062
21/09/2017;56833;35123;91956
22/09/2017;53721;34890;88611
23/09/2017;46103;31649;77752
24/09/2017;45606;31190;76796
25/09/2017;55380;35511;90891
26/09/2017;56649;35149;91798
27/09/2017;57451;34806;92257
28/09/2017;57857;34708;92565
29/09/2017;54833;34498;89331
30/09/2017;46851;32388;79239
01/10/2017;45919;32398;78317
02/10/2017;56976;37221;94197
03/10/2017;57553;36116;93669
04/10/2017;59295;37764;97059
05/10/2017;59049;37688;96737
06/10/2017;55274;35916;91190
07/10/2017;48136;33665;81801
08/10/2017;46110;31963;78073
09/10/2017;56888;35845;92733
10/10/2017;58255;36901;95156
11/10/2017;58515;37686;96201
12/10/2017;57438;38887;96325
13/10/2017;55568;37072;92640
14/10/2017;47189;32449;79638
15/10/2017;46121;32452;78573
16/10/2017;55788;36239;92027
17/10/2017;56895;35516;92411
18/10/2017;57381;35781;93162
19/10/2017;56179;36192;92371
20/10/2017;54421;35748;90169
21/10/2017;47212;32924;80136
22/10/2017;47087;32801;79888
23/10/2017;57296;36817;94113
24/10/2017;59164;38158;97322
25/10/2017;59010;37844;96854
26/10/2017;60229;37278;97507
27/10/2017;57823;37022;94845
28/10/2017;49387;34533;83920
29/10/2017;50302;35408;85710
30/10/2017;60229;37875;98104
31/10/2017;60481;38840;99321
01/11/2017;60006;38495;98501
02/11/2017;59368;38403;97771
03/11/2017;57486;37610;95096
04/11/2017;49249;34134;83383
05/11/2017;48676;34165;82841
06/11/2017;59162;38483;97645
07/11/2017;60809;39555;100364
08/11/2017;60513;39065;99578
09/11/2017;61918;38894;100812
10/11/2017;60249;39150;99399
11/11/2017;51444;34805;86249
12/11/2017;50048;34485;84533
13/11/2017;61487;39626;101113
14/11/2017;62939;40192;103131
15/11/2017;61424;39488;100912
16/11/2017;62757;40580;103337
17/11/2017;59789;38509;98298
18/11/2017;52447;35879;88326
19/11/2017;51159;36598;87757
20/11/2017;61283;41346;102629
21/11/2017;62399;42866;105265
22/11/2017;62787;41453;104240
23/11/2017;62642;40322;102964
24/11/2017;59269;39904;99173
25/11/2017;52483;37759;90242
26/11/2017;51981;37584;89565
27/11/2017;62562;41542;104104
28/11/2017;63202;42083;105285
29/11/2017;64247;42710;106957
30/11/2017;65080;43757;108837
01/12/2017;61723;42556;104279
02/12/2017;53329;38753;92082
03/12/2017;52756;37693;90449
04/12/2017;64086;42156;106242
05/12/2017;62280;41317;103597
06/12/2017;62619;41306;103925
07/12/2017;62896;41290;104186
08/12/2017;61164;40835;101999
09/12/2017;54500;38077;92577
10/12/2017;54289;38762;93051
11/12/2017;65134;43976;109110
12/12/2017;65169;43864;109033
13/12/2017;65159;42684;107843
14/12/2017;65752;42826;108578
15/12/2017;62738;42364;105102
16/12/2017;55130;40189;95319
17/12/2017;54337;41125;95462
18/12/2017;64252;44608;108860
19/12/2017;63509;44446;107955
20/12/2017;61830;43093;104923
21/12/2017;58986;40927;99913
22/12/2017;55418;39649;95067
23/12/2017;49198;36939;86137
24/12/2017;46502;35974;82476
25/12/2017;43897;34137;78034
26/12/2017;47086;35026;82112
27/12/2017;53460;42366;95826
28/12/2017;54099;44968;99067
29/12/2017;52818;42575;95393
30/12/2017;52310;43535;95845
31/12/2017;49398;42998;92396
