Consumption DK areas in MWh;;;
Data was last updated 08-02-2017;;;
;DK1;DK2;DK
01/01/2015;50722;35832;86554
02/01/2015;56658;39788;96446
03/01/2015;52724;38489;91213
04/01/2015;51428;38240;89668
05/01/2015;62433;42229;104662
06/01/2015;63592;43125;106717
07/01/2015;63469;42757;106226
08/01/2015;65781;43073;108854
09/01/2015;64057;43039;107096
10/01/2015;57186;39049;96235
11/01/2015;55606;39207;94813
12/01/2015;66249;42848;109097
13/01/2015;63167;41104;104271
14/01/2015;66171;42889;109060
15/01/2015;67259;43505;110764
16/01/2015;63795;41892;105687
17/01/2015;54984;36708;91692
18/01/2015;54337;36953;91290
19/01/2015;65740;41438;107178
20/01/2015;66835;42735;109570
21/01/2015;67530;42051;109581
22/01/2015;66448;41499;107947
23/01/2015;64233;41913;106146
24/01/2015;56419;39959;96378
25/01/2015;52853;38391;91244
26/01/2015;64432;42503;106935
27/01/2015;63994;42610;106604
28/01/2015;66013;42659;108672
29/01/2015;66819;43120;109939
30/01/2015;64169;42156;106325
31/01/2015;54817;38850;93667
01/02/2015;54072;38506;92578
02/02/2015;65042;42953;107995
03/02/2015;65908;43129;109037
04/02/2015;67071;43032;110103
05/02/2015;66123;42620;108743
06/02/2015;62703;42374;105077
07/02/2015;55525;37722;93247
08/02/2015;53688;38250;91938
09/02/2015;62223;39640;101863
10/02/2015;62129;39800;101929
11/02/2015;62165;41345;103510
12/02/2015;62601;41763;104364
13/02/2015;60727;41725;102452
14/02/2015;53827;37837;91664
15/02/2015;54642;37572;92214
16/02/2015;64857;42005;106862
17/02/2015;63805;42667;106472
18/02/2015;63877;41164;105041
19/02/2015;65030;41285;106315
20/02/2015;62589;42034;104623
21/02/2015;53198;38172;91370
22/02/2015;51098;36692;87790
23/02/2015;63339;42254;105593
24/02/2015;63924;41501;105425
25/02/2015;62524;40192;102716
26/02/2015;62839;40595;103434
27/02/2015;60341;39528;99869
28/02/2015;51860;36039;87899
01/03/2015;53834;37336;91170
02/03/2015;62322;40610;102932
03/03/2015;62180;40498;102678
04/03/2015;63720;40603;104323
05/03/2015;61666;39671;101337
06/03/2015;59266;39767;99033
07/03/2015;52605;34991;87596
08/03/2015;50640;33261;83901
09/03/2015;58284;37145;95429
10/03/2015;60240;38215;98455
11/03/2015;58966;37701;96667
12/03/2015;58606;37901;96507
13/03/2015;57732;38282;96014
14/03/2015;49518;34952;84470
15/03/2015;49566;34623;84189
16/03/2015;59594;39269;98863
17/03/2015;58661;39440;98101
18/03/2015;57945;36907;94852
19/03/2015;57858;37212;95070
20/03/2015;56745;38212;94957
21/03/2015;50427;35758;86185
22/03/2015;48411;37423;85834
23/03/2015;59779;38470;98249
24/03/2015;59501;38742;98243
25/03/2015;60879;38885;99764
26/03/2015;60812;39107;99919
27/03/2015;57976;38830;96806
28/03/2015;51513;34852;86365
29/03/2015;48339;32598;80937
30/03/2015;61052;37395;98447
31/03/2015;63109;39406;102515
01/04/2015;62028;37961;99989
02/04/2015;50746;33984;84730
03/04/2015;48203;32856;81059
04/04/2015;46173;32694;78867
05/04/2015;44851;31799;76650
06/04/2015;45654;32686;78340
07/04/2015;58463;37702;96165
08/04/2015;57820;37309;95129
09/04/2015;56901;36433;93334
10/04/2015;54174;35552;89726
11/04/2015;47177;31276;78453
12/04/2015;48545;31860;80405
13/04/2015;58719;35788;94507
14/04/2015;59958;37780;97738
15/04/2015;59528;36851;96379
16/04/2015;57631;36619;94250
17/04/2015;54003;35881;89884
18/04/2015;45402;32575;77977
19/04/2015;42550;31369;73919
20/04/2015;53292;34818;88110
21/04/2015;55130;34624;89754
22/04/2015;54905;34843;89748
23/04/2015;55884;34883;90767
24/04/2015;53340;34974;88314
25/04/2015;46559;31863;78422
26/04/2015;44786;32299;77085
27/04/2015;55473;35791;91264
28/04/2015;56297;35761;92058
29/04/2015;56620;35857;92477
30/04/2015;56328;36270;92598
01/05/2015;46066;31659;77725
02/05/2015;43735;30467;74202
03/05/2015;44053;30763;74816
04/05/2015;56453;35526;91979
05/05/2015;56792;36103;92895
06/05/2015;56281;34837;91118
07/05/2015;57427;35083;92510
08/05/2015;54103;34103;88206
09/05/2015;47029;31421;78450
10/05/2015;45747;31102;76849
11/05/2015;55165;33887;89052
12/05/2015;57075;35331;92406
13/05/2015;57215;35013;92228
14/05/2015;46183;30683;76866
15/05/2015;47380;31410;78790
16/05/2015;44867;30532;75399
17/05/2015;44316;30932;75248
18/05/2015;55458;34461;89919
19/05/2015;56408;35141;91549
20/05/2015;56458;34312;90770
21/05/2015;56166;34591;90757
22/05/2015;54051;33918;87969
