Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;
Data was last updated 14-04-2019;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
31/01/2019;419,92;424,88;424,88;428,08;444,32;456,53;400,05;437,01;427,65;406,91;407,40;424,88;424,88;424,88;456,53;456,53;456,26
01/02/2019;406,34;403,88;403,88;403,88;411,38;428,10;403,76;411,38;403,88;403,76;403,88;403,88;403,88;403,88;428,10;428,10;428,10
02/02/2019;381,82;381,12;381,12;381,12;381,12;381,12;381,13;382,35;381,88;381,88;381,88;381,12;381,12;381,12;381,12;381,12;381,12
03/02/2019;375,63;374,63;374,63;374,63;374,63;374,63;374,63;376,76;376,76;376,76;376,76;374,63;374,63;374,63;374,63;374,63;374,63
04/02/2019;394,09;400,38;400,38;401,98;401,98;410,59;356,62;393,06;401,98;389,99;394,82;400,38;400,38;400,38;410,59;410,59;410,59
05/02/2019;392,54;391,04;391,04;391,04;391,04;415,04;373,29;373,29;390,70;390,70;390,70;391,04;391,04;391,04;414,53;414,53;410,73
06/02/2019;394,74;388,20;388,20;399,54;399,54;422,40;395,94;399,54;399,54;395,94;395,98;388,20;388,20;388,20;422,40;422,40;411,96
07/02/2019;372,01;371,17;371,17;371,17;371,43;385,01;343,84;364,31;372,46;372,46;372,46;371,16;371,16;371,16;385,01;385,01;382,07
08/02/2019;366,79;363,24;363,24;363,24;363,24;373,82;304,10;322,98;370,17;370,17;370,17;363,27;363,27;363,27;373,82;373,82;370,43
09/02/2019;349,84;351,13;351,13;351,13;351,13;351,13;50,81;71,81;357,03;357,03;357,03;351,19;351,19;351,19;351,13;351,13;334,90
10/02/2019;347,54;339,69;339,69;339,69;339,69;339,69;246,24;256,30;353,16;353,16;353,16;342,97;342,97;342,97;339,69;339,69;328,86
11/02/2019;353,03;350,57;350,57;350,57;350,57;376,71;252,29;293,35;355,39;355,39;355,39;350,57;350,57;350,57;376,71;376,71;364,34
12/02/2019;358,76;347,14;347,14;358,49;363,69;364,55;345,79;364,26;364,28;364,28;364,28;347,14;347,14;347,14;365,49;365,49;365,49
13/02/2019;343,78;337,79;337,79;340,36;341,80;360,59;330,24;331,68;346,52;346,52;346,52;337,79;337,79;337,79;360,59;360,59;357,06
14/02/2019;333,78;326,81;326,81;334,01;353,45;349,20;353,16;362,36;337,08;337,08;337,08;326,81;326,81;326,81;359,61;359,61;359,21
15/02/2019;326,93;324,47;324,47;325,84;343,20;330,03;338,76;346,25;328,34;328,34;328,34;324,47;324,47;324,47;346,51;346,51;346,51
16/02/2019;307,55;297,21;297,21;297,21;297,21;297,21;286,24;286,24;316,40;316,40;316,40;297,21;297,21;297,21;297,21;297,21;296,96
17/02/2019;317,03;309,28;309,28;309,28;309,57;309,57;307,79;311,11;320,61;320,61;320,61;312,68;312,68;312,68;309,57;309,57;309,42
18/02/2019;328,93;326,10;326,10;326,22;339,44;328,11;330,23;338,99;330,17;330,17;330,17;326,19;326,19;326,19;343,36;343,36;343,36
19/02/2019;318,57;310,23;310,23;310,23;310,80;319,45;299,91;310,80;321,59;321,59;321,59;319,28;319,28;319,28;326,52;326,52;326,52
20/02/2019;325,32;316,41;316,41;317,20;317,20;317,20;334,47;339,26;328,77;328,77;328,77;325,37;325,37;325,37;317,20;317,20;317,20
21/02/2019;328,85;326,51;326,51;330,44;333,06;357,15;325,87;325,87;328,40;328,40;328,40;326,51;326,51;326,51;357,15;357,15;357,15
22/02/2019;323,70;317,22;317,22;337,63;350,24;349,51;349,65;350,21;325,98;325,98;325,98;317,22;317,22;317,22;353,32;353,32;352,57
23/02/2019;300,25;295,45;295,45;295,45;295,45;295,45;298,40;299,32;306,16;306,16;306,16;295,45;295,45;295,45;295,45;295,45;295,45
24/02/2019;297,03;285,46;285,46;285,46;285,46;285,46;290,58;290,58;311,08;311,08;311,08;285,46;285,46;285,46;285,46;285,46;285,37
25/02/2019;309,16;301,10;301,10;306,14;310,19;306,20;320,81;324,57;314,77;314,77;314,77;301,10;301,10;301,10;315,72;315,72;315,72
26/02/2019;313,76;307,52;307,52;309,37;327,40;335,95;335,10;335,52;315,46;315,46;315,46;307,52;307,52;307,52;337,26;337,26;337,26
27/02/2019;307,24;300,69;300,69;306,10;311,42;306,26;313,28;313,28;312,90;312,90;312,90;300,69;300,69;300,69;340,85;340,85;340,85
28/02/2019;308,05;298,45;298,45;299,61;304,68;301,42;303,43;304,75;314,88;314,88;314,88;299,22;299,22;298,74;310,56;310,56;310,56
01/03/2019;334,36;325,39;325,39;337,01;345,58;369,05;347,65;348,77;335,07;335,07;335,07;325,39;325,39;325,29;370,82;370,82;370,82
02/03/2019;314,00;306,64;306,64;306,64;306,64;306,64;303,36;304,04;322,46;322,46;322,46;306,64;306,64;306,64;306,64;306,64;306,64
03/03/2019;300,12;299,39;299,39;299,39;299,39;299,39;111,88;264,52;309,68;309,68;309,68;299,39;299,39;299,39;299,39;299,39;298,65
04/03/2019;313,45;312,27;312,27;312,27;312,27;351,20;123,78;202,04;317,93;317,93;317,93;312,27;312,27;312,27;351,20;351,20;347,37
05/03/2019;326,31;326,51;326,51;326,51;326,51;337,16;253,83;253,82;331,36;331,36;331,36;327,26;327,26;327,26;337,16;337,16;337,16
06/03/2019;334,14;333,89;333,89;333,89;333,89;343,94;299,79;326,76;335,29;335,29;335,29;335,25;335,25;335,25;345,33;345,33;345,33
07/03/2019;326,93;321,86;321,86;321,86;321,86;327,93;302,98;304,62;330,65;330,65;330,65;331,26;331,26;331,26;327,93;327,93;327,93
08/03/2019;308,52;288,99;288,99;288,99;288,99;288,99;239,24;259,60;318,96;318,96;318,96;319,81;319,81;319,81;288,99;288,99;288,99
09/03/2019;302,19;284,57;284,57;284,57;284,57;284,57;59,51;63,46;324,69;324,69;324,69;323,40;323,40;323,40;284,57;284,57;281,98
10/03/2019;310,46;291,59;291,59;291,59;291,59;291,59;208,56;208,56;324,12;324,12;324,12;322,83;322,83;322,83;291,59;291,59;280,40
11/03/2019;339,16;337,29;337,29;337,29;337,29;337,29;337,29;337,58;340,64;340,64;340,64;340,71;340,71;340,71;337,29;336,76;336,76
12/03/2019;335,04;335,75;335,75;335,75;335,75;341,66;288,09;313,19;337,43;334,63;337,43;337,85;337,85;337,85;341,66;341,66;341,66
13/03/2019;314,65;308,03;308,03;308,03;308,03;321,87;283,51;292,11;317,39;317,39;317,39;317,47;317,47;317,47;321,87;315,32;315,32
14/03/2019;315,58;309,07;309,07;309,07;309,07;309,07;299,04;299,04;317,89;317,89;317,89;317,83;317,83;317,83;309,07;309,07;309,07
15/03/2019;318,92;318,89;318,89;318,89;318,89;321,46;285,51;286,00;319,48;319,48;319,48;319,32;319,32;319,32;321,46;321,46;321,46
16/03/2019;303,60;304,08;304,08;304,08;304,08;304,08;153,01;208,20;307,99;307,99;307,99;307,26;307,26;307,26;304,08;304,08;304,08
17/03/2019;271,48;258,89;258,89;258,89;258,89;258,89;13,68;33,71;301,95;301,95;301,95;294,86;294,86;294,86;258,89;258,89;258,89
18/03/2019;309,57;299,59;299,59;299,59;299,59;307,60;243,09;266,66;315,94;315,94;315,94;314,53;314,53;314,53;307,60;307,60;307,60
19/03/2019;342,44;339,78;339,78;339,78;339,78;340,10;339,78;339,78;345,35;345,35;345,35;341,76;341,76;341,76;340,10;340,10;340,10
20/03/2019;310,63;307,06;307,06;307,94;307,94;309,45;306,17;308,78;313,31;313,31;313,31;307,52;307,52;307,52;309,45;309,45;309,45
21/03/2019;296,21;290,61;290,61;290,61;290,61;295,37;289,34;291,08;300,03;300,03;300,03;294,20;294,20;294,20;295,37;295,37;295,37
22/03/2019;300,99;297,02;297,02;297,20;297,45;297,48;301,75;305,82;303,85;303,85;303,85;297,47;297,47;297,47;297,73;297,73;297,73
23/03/2019;269,83;248,14;248,14;248,14;248,14;248,14;263,00;263,00;285,27;285,27;285,27;272,49;272,49;272,49;248,14;248,14;248,14
24/03/2019;271,26;249,58;249,58;249,58;249,58;249,58;249,08;254,36;286,24;286,24;286,24;276,67;276,67;276,67;249,58;249,58;249,58
25/03/2019;293,66;283,34;283,34;283,34;284,08;284,08;242,06;272,32;299,40;299,40;299,40;296,34;296,34;296,34;284,08;284,08;284,08
26/03/2019;300,35;294,65;294,65;294,65;294,78;295,25;282,24;288,88;301,73;301,73;301,73;304,90;304,90;304,90;295,25;295,25;295,25
27/03/2019;299,15;294,71;294,71;294,71;297,23;296,81;299,36;299,68;302,76;302,76;302,76;295,97;295,97;295,97;297,24;297,24;297,24
28/03/2019;290,19;265,44;265,44;265,44;284,80;267,25;315,99;315,99;304,14;304,14;304,14;274,09;274,09;274,09;284,80;284,80;284,80
29/03/2019;270,24;209,86;209,86;209,86;212,23;212,23;280,04;284,46;295,31;295,31;295,31;264,17;264,17;264,17;212,23;212,23;212,23
30/03/2019;264,55;238,75;238,75;238,75;238,75;238,75;245,42;245,42;286,24;286,24;286,24;264,88;264,88;264,88;238,75;238,75;238,75
31/03/2019;261,58;215,34;215,34;215,34;215,34;215,34;200,36;200,51;288,87;288,87;288,87;267,72;267,72;267,72;215,34;215,34;215,34
