Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;
Data was last updated 14-04-2019;;;;;;;;;;;;;;;;;
;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
01/01/2019;309,50;168,61;168,61;168,61;168,61;168,61;-29,31;-29,31;364,00;364,00;364,00;349,35;349,35;349,35;168,61;168,61;168,61
02/01/2019;354,89;318,43;318,43;318,43;318,43;318,43;203,30;203,30;380,64;380,64;380,64;377,95;377,95;377,95;318,43;318,43;311,48
03/01/2019;402,48;387,50;387,50;425,90;426,38;427,00;422,61;423,10;425,97;425,97;401,76;387,50;387,50;387,50;427,49;427,49;408,62
04/01/2019;381,59;379,71;379,71;380,81;381,33;407,68;370,16;371,79;381,44;381,44;381,44;379,71;379,71;379,71;407,68;407,68;407,68
05/01/2019;378,44;378,80;378,80;378,80;381,63;389,95;325,51;328,71;378,80;378,80;378,80;378,80;378,80;378,80;389,95;389,95;389,72
06/01/2019;381,44;380,99;380,99;382,01;388,10;382,01;381,69;388,72;382,10;382,10;382,10;380,99;380,99;380,99;382,01;388,10;388,10
07/01/2019;386,98;382,22;382,22;387,91;419,75;388,20;359,63;400,98;388,68;388,41;388,68;382,22;382,22;382,22;388,20;438,47;438,47
08/01/2019;369,60;369,63;369,63;369,63;369,63;388,80;257,59;257,59;370,57;370,57;370,57;369,63;369,63;369,63;388,80;439,07;439,07
09/01/2019;375,64;373,82;373,82;373,82;373,82;433,93;300,01;300,01;376,78;376,78;376,78;373,82;373,82;373,82;433,93;438,25;437,87
10/01/2019;401,69;374,06;374,06;444,31;482,57;445,15;444,88;507,12;444,88;444,88;444,88;372,91;372,91;372,91;445,15;484,78;485,85
11/01/2019;368,14;361,54;361,54;369,49;369,49;384,18;365,05;376,78;372,35;372,35;372,35;361,54;361,54;361,54;384,18;411,70;411,70
12/01/2019;366,53;360,07;360,07;360,07;360,07;360,07;360,07;360,07;370,33;370,33;370,33;364,32;364,32;364,32;360,07;363,15;363,15
13/01/2019;361,89;357,93;357,93;357,93;357,93;357,93;244,57;288,27;368,06;368,06;368,06;361,98;361,98;361,98;357,93;357,93;357,93
14/01/2019;361,86;327,66;327,66;327,66;327,66;360,59;243,41;260,20;371,43;371,43;371,43;367,17;367,17;367,17;360,59;362,33;362,33
15/01/2019;386,96;374,84;374,84;375,70;375,70;399,02;374,14;375,70;388,81;387,24;388,81;387,80;387,80;387,80;399,02;399,71;399,71
16/01/2019;391,01;389,22;389,22;389,22;389,22;414,76;385,62;389,22;392,28;388,68;391,41;391,82;391,82;391,82;414,76;414,76;414,76
17/01/2019;393,48;387,82;387,82;389,98;389,98;394,13;376,88;376,88;395,28;395,28;395,28;392,05;392,05;392,05;394,13;394,13;394,13
18/01/2019;428,13;404,68;404,68;456,63;461,05;463,81;456,62;461,23;456,63;456,63;456,63;402,25;402,25;387,36;460,62;460,62;460,62
19/01/2019;407,07;410,83;410,83;410,83;412,58;410,95;410,43;412,68;411,31;411,31;411,31;410,83;410,83;381,60;410,95;413,61;413,61
20/01/2019;405,98;410,98;410,98;410,98;410,98;410,98;410,98;411,24;413,19;413,19;413,19;405,56;405,56;381,95;410,98;410,98;410,98
21/01/2019;470,96;513,91;513,91;513,91;513,91;513,91;509,46;513,91;511,07;509,45;509,45;428,56;428,56;391,48;513,91;513,91;513,91
22/01/2019;448,33;469,83;469,83;469,83;469,83;479,95;467,59;469,83;467,94;467,10;467,43;420,41;420,41;392,76;479,95;479,95;479,95
23/01/2019;466,63;508,49;508,49;508,49;519,07;508,49;507,23;519,07;505,57;505,57;505,57;412,83;412,83;383,91;508,49;513,15;519,07
24/01/2019;512,61;581,18;581,18;590,73;593,21;590,73;590,73;593,21;583,36;583,36;583,36;415,37;415,37;391,88;590,73;590,73;593,21
25/01/2019;452,90;487,21;487,21;487,21;496,78;488,01;485,75;496,78;481,24;481,07;481,24;409,61;409,61;390,21;488,01;496,31;496,78
26/01/2019;402,09;403,68;403,68;403,68;403,68;410,95;393,57;403,68;403,35;402,55;403,35;403,35;403,35;386,08;410,95;410,95;410,95
27/01/2019;388,38;389,48;389,48;389,48;389,48;396,12;337,13;345,29;389,48;389,48;389,48;389,48;389,48;387,19;396,12;396,12;386,35
28/01/2019;417,81;418,38;418,38;419,54;420,27;454,12;414,91;420,27;419,54;414,91;419,54;408,24;408,24;389,92;454,01;454,01;452,36
29/01/2019;436,87;452,82;452,82;459,51;459,51;460,37;459,51;459,51;459,51;459,51;459,51;412,12;412,12;392,79;460,37;460,37;460,37
30/01/2019;416,31;432,66;432,66;432,87;432,87;442,73;410,10;431,63;432,87;411,34;415,80;413,47;413,47;391,00;442,00;442,00;442,00
