Wind power DK in MWh;;
Data was last updated 01-01-2019;;
;DK1;DK2
01/01/2018;44385;16593
02/01/2018;26945;6739
03/01/2018;36620;11578
04/01/2018;13251;7468
05/01/2018;2624;5906
06/01/2018;9633;4197
07/01/2018;10965;2772
08/01/2018;11551;3319
09/01/2018;58997;13774
10/01/2018;24171;3112
11/01/2018;9234;3320
12/01/2018;26272;8118
13/01/2018;38568;9475
14/01/2018;42762;11326
15/01/2018;71953;18236
16/01/2018;32008;13738
17/01/2018;14154;9795
18/01/2018;6622;8929
19/01/2018;4312;2544
20/01/2018;10230;2644
21/01/2018;5117;473
22/01/2018;23111;7477
23/01/2018;42292;7970
24/01/2018;72923;18567
25/01/2018;51650;11248
26/01/2018;12548;944
27/01/2018;39146;9269
28/01/2018;61368;17227
29/01/2018;69135;19546
30/01/2018;59947;16253
31/01/2018;57707;14537
01/02/2018;52925;17639
02/02/2018;42761;8066
03/02/2018;32252;3377
04/02/2018;47117;10398
05/02/2018;4047;3439
06/02/2018;2775;357
07/02/2018;19152;853
08/02/2018;37334;1657
09/02/2018;47619;5562
10/02/2018;32523;1992
11/02/2018;71817;14989
12/02/2018;67114;16651
13/02/2018;24366;5081
14/02/2018;42599;4241
15/02/2018;69554;15599
16/02/2018;32610;11869
17/02/2018;3685;1555
18/02/2018;24700;2320
19/02/2018;7173;1229
20/02/2018;11229;2674
21/02/2018;4244;314
22/02/2018;5641;1539
23/02/2018;2763;1349
24/02/2018;17595;8375
25/02/2018;25906;7931
26/02/2018;36529;9958
27/02/2018;69394;13841
28/02/2018;72888;13394
01/03/2018;69019;10722
02/03/2018;58527;9059
03/03/2018;34190;7002
04/03/2018;46383;11754
05/03/2018;52351;9432
06/03/2018;13302;3720
07/03/2018;15518;3459
08/03/2018;4711;3251
09/03/2018;4713;5560
10/03/2018;33142;8350
11/03/2018;40389;5861
12/03/2018;8645;1429
13/03/2018;14936;3175
14/03/2018;6513;3078
15/03/2018;63863;19539
16/03/2018;76745;23673
17/03/2018;65722;22497
18/03/2018;34128;16253
19/03/2018;27524;3322
20/03/2018;28991;9010
21/03/2018;40110;7832
22/03/2018;16931;7276
23/03/2018;18295;1650
24/03/2018;13567;2475
25/03/2018;2877;970
26/03/2018;9337;1726
27/03/2018;18465;1631
28/03/2018;74878;18813
29/03/2018;49423;13427
30/03/2018;17430;3905
31/03/2018;35247;14456
01/04/2018;22131;8159
02/04/2018;8127;3997
03/04/2018;40857;6846
04/04/2018;22858;8861
05/04/2018;47055;13221
06/04/2018;38134;10979
07/04/2018;38896;11899
08/04/2018;6158;5011
09/04/2018;9506;2390
10/04/2018;60204;16055
11/04/2018;65136;18794
12/04/2018;71062;19348
13/04/2018;59207;18897
14/04/2018;15851;4891
15/04/2018;1812;3119
16/04/2018;4096;639
17/04/2018;14116;1473
18/04/2018;21811;4361
19/04/2018;10603;1081
20/04/2018;26589;9405
21/04/2018;26084;4541
22/04/2018;11425;2492
23/04/2018;50987;12744
24/04/2018;56981;15549
25/04/2018;27973;7979
26/04/2018;38053;10953
27/04/2018;24136;7266
28/04/2018;6542;1602
29/04/2018;4511;2565
30/04/2018;42989;12723
01/05/2018;21123;15663
02/05/2018;40896;7266
03/05/2018;37453;6435
04/05/2018;6705;584
05/05/2018;6495;272
06/05/2018;6192;868
07/05/2018;16457;2316
08/05/2018;28736;6794
09/05/2018;40502;8531
10/05/2018;30140;5995
11/05/2018;11577;2752
12/05/2018;5459;894
13/05/2018;23457;9411
14/05/2018;17351;6507
15/05/2018;4058;3298
16/05/2018;25994;3378
17/05/2018;26180;5622
18/05/2018;16090;1799
19/05/2018;2817;1118
20/05/2018;6240;2387
21/05/2018;19210;8545
22/05/2018;11625;2495
23/05/2018;3623;657
24/05/2018;18622;8037
25/05/2018;19319;7718
26/05/2018;7804;2878
27/05/2018;22331;6934
28/05/2018;19620;8537
29/05/2018;19515;8853
30/05/2018;32928;10914
31/05/2018;26848;12967
01/06/2018;11827;6732
02/06/2018;2944;1031
03/06/2018;13409;3753
04/06/2018;29001;7464
05/06/2018;13637;2300
