Wind power DK in MWh;;
Data was last updated 01-01-2019;;
;DK1;DK2
06/06/2018;9778;4075
07/06/2018;7069;3640
08/06/2018;1568;2186
09/06/2018;2432;1746
10/06/2018;7522;1808
11/06/2018;57682;12345
12/06/2018;29002;6936
13/06/2018;44158;7812
14/06/2018;56217;7612
15/06/2018;17132;2342
16/06/2018;8325;2948
17/06/2018;33302;5044
18/06/2018;36725;5929
19/06/2018;48239;11651
20/06/2018;50283;10584
21/06/2018;61434;13154
22/06/2018;60607;15432
23/06/2018;63004;15210
24/06/2018;26712;3626
25/06/2018;21807;4036
26/06/2018;5044;1752
27/06/2018;1721;1413
28/06/2018;7867;945
29/06/2018;28189;4609
30/06/2018;13103;1509
01/07/2018;11245;1981
02/07/2018;9985;4283
03/07/2018;13442;2183
04/07/2018;7768;1545
05/07/2018;21659;5465
06/07/2018;60055;14726
07/07/2018;51303;13906
08/07/2018;25259;5145
09/07/2018;57306;12766
10/07/2018;23246;2749
11/07/2018;11094;4214
12/07/2018;5037;1826
13/07/2018;22952;6399
14/07/2018;26590;4945
15/07/2018;10625;1713
16/07/2018;4154;1057
17/07/2018;3613;330
18/07/2018;16352;6656
19/07/2018;20691;5271
20/07/2018;18597;3145
21/07/2018;9801;542
22/07/2018;13234;1125
23/07/2018;16341;2615
24/07/2018;3660;300
25/07/2018;5657;423
26/07/2018;7216;1374
27/07/2018;20960;7302
28/07/2018;36174;8128
29/07/2018;11039;2325
30/07/2018;9889;3917
31/07/2018;19904;6519
01/08/2018;2489;1775
02/08/2018;2072;634
03/08/2018;5125;474
04/08/2018;28703;4329
05/08/2018;54537;13112
06/08/2018;18996;2661
07/08/2018;6707;4059
08/08/2018;27613;6896
09/08/2018;12986;4356
10/08/2018;64140;16166
11/08/2018;35118;14052
12/08/2018;21229;6242
13/08/2018;14518;2969
14/08/2018;9298;5501
15/08/2018;14561;3686
16/08/2018;42886;4191
17/08/2018;18764;1494
18/08/2018;51989;5783
19/08/2018;28011;5111
20/08/2018;41452;12188
21/08/2018;10360;2986
22/08/2018;36829;4082
23/08/2018;18606;2204
24/08/2018;26558;10330
25/08/2018;15121;7970
26/08/2018;26176;7722
27/08/2018;48532;14017
28/08/2018;17750;4058
29/08/2018;8566;3631
30/08/2018;22181;3279
31/08/2018;18932;5090
01/09/2018;3017;1609
02/09/2018;2165;2359
03/09/2018;8618;8924
04/09/2018;2479;2077
05/09/2018;1148;550
06/09/2018;22152;6475
07/09/2018;29577;7072
08/09/2018;46884;12705
09/09/2018;37255;5138
10/09/2018;36506;5237
11/09/2018;48387;13040
12/09/2018;56559;9911
13/09/2018;28747;1984
14/09/2018;41546;4622
15/09/2018;24163;9189
16/09/2018;40553;5028
17/09/2018;20713;4584
18/09/2018;44731;7833
19/09/2018;55924;7002
20/09/2018;38152;8693
21/09/2018;68825;19274
22/09/2018;65011;20014
23/09/2018;55370;11222
24/09/2018;57895;18552
25/09/2018;30360;8270
26/09/2018;72498;21708
27/09/2018;63968;17151
28/09/2018;59651;15963
29/09/2018;42320;8193
30/09/2018;38752;10884
01/10/2018;32970;6256
02/10/2018;58535;18616
03/10/2018;47071;19464
04/10/2018;28497;7271
05/10/2018;28812;9144
06/10/2018;12679;1495
07/10/2018;16091;5950
08/10/2018;56893;10766
09/10/2018;49853;7929
10/10/2018;15171;3559
11/10/2018;40083;11778
12/10/2018;36620;6828
13/10/2018;47059;9689
14/10/2018;39506;11434
15/10/2018;10694;3784
16/10/2018;3304;870
17/10/2018;10992;520
18/10/2018;20456;4576
19/10/2018;7621;882
20/10/2018;19819;4341
21/10/2018;39153;5462
22/10/2018;57968;14863
23/10/2018;78588;23033
24/10/2018;49291;15236
25/10/2018;66137;21548
26/10/2018;28938;12161
27/10/2018;47742;14432
28/10/2018;35419;8541
29/10/2018;64104;20411
30/10/2018;59893;16754
31/10/2018;38567;14058
01/11/2018;31766;4920
02/11/2018;37014;12408
03/11/2018;29636;3092
04/11/2018;28346;4644
05/11/2018;10996;3449
06/11/2018;12283;3066
07/11/2018;17650;2737
08/11/2018;8844;1154
09/11/2018;13918;3007
10/11/2018;48343;11518
11/11/2018;40223;12482
12/11/2018;17427;3442
13/11/2018;30311;9424
14/11/2018;24474;5664
15/11/2018;22014;4524
16/11/2018;25443;10349
17/11/2018;12711;3260
18/11/2018;20725;8042
19/11/2018;48658;17597
20/11/2018;60806;19398
21/11/2018;59407;18586
22/11/2018;19651;5165
23/11/2018;7427;1190
24/11/2018;11587;569
25/11/2018;26699;5560
26/11/2018;7464;3832
27/11/2018;7998;1359
28/11/2018;56078;15862
29/11/2018;67585;22418
30/11/2018;62207;14562
01/12/2018;30001;10309
02/12/2018;34965;12117
03/12/2018;52083;13536
04/12/2018;69586;20163
05/12/2018;17371;7571
06/12/2018;26981;10696
07/12/2018;41943;15443
08/12/2018;63338;22681
09/12/2018;42388;16318
10/12/2018;66837;20427
11/12/2018;34412;13147
12/12/2018;7798;5298
13/12/2018;18781;6974
14/12/2018;23717;4808
15/12/2018;27172;2114
16/12/2018;40338;10076
17/12/2018;6022;1628
18/12/2018;20357;4395
19/12/2018;48562;12488
20/12/2018;28088;3122
21/12/2018;39962;10244
22/12/2018;9878;2520
23/12/2018;5908;4921
24/12/2018;27063;7739
25/12/2018;70470;19167
26/12/2018;43629;12269
27/12/2018;44570;16979
28/12/2018;30924;9340
29/12/2018;36822;12392
30/12/2018;35912;12839
31/12/2018;42683;8341
