Wind power DK in MWh;;
Data was last updated 16-05-2019;;
;DK1;DK2
01/01/2019;63850;21721
02/01/2019;35360;18135
03/01/2019;20397;6339
04/01/2019;66074;14207
05/01/2019;25268;6683
06/01/2019;14502;640
07/01/2019;41637;9019
08/01/2019;74831;22232
09/01/2019;58813;19261
10/01/2019;14622;2964
11/01/2019;61559;13215
12/01/2019;46528;14548
13/01/2019;67552;19887
14/01/2019;77264;22716
15/01/2019;57328;20016
16/01/2019;68663;19441
17/01/2019;33493;17989
18/01/2019;17065;7301
19/01/2019;16986;1983
20/01/2019;11720;1193
21/01/2019;31024;11516
22/01/2019;28462;6587
23/01/2019;23874;7068
24/01/2019;9220;1941
25/01/2019;16972;3040
26/01/2019;25282;3647
27/01/2019;40267;10072
28/01/2019;23512;4383
29/01/2019;13004;6990
30/01/2019;31074;10434
31/01/2019;42922;8279
01/02/2019;26863;7069
02/02/2019;13801;3676
03/02/2019;13534;4619
04/02/2019;62971;15268
05/02/2019;59143;20399
06/02/2019;28907;10123
07/02/2019;50361;14701
08/02/2019;68285;21218
09/02/2019;70926;23095
10/02/2019;33594;12055
11/02/2019;57642;18959
12/02/2019;34062;10186
13/02/2019;46281;17611
14/02/2019;25994;6664
15/02/2019;27962;4781
16/02/2019;48900;11202
17/02/2019;22633;4258
18/02/2019;34951;5012
19/02/2019;66472;16318
20/02/2019;33784;11807
21/02/2019;29966;12190
22/02/2019;22244;8601
23/02/2019;16662;3724
24/02/2019;17554;2832
25/02/2019;18230;3970
26/02/2019;9668;2498
27/02/2019;29584;7403
28/02/2019;18296;7325
01/03/2019;5639;1046
02/03/2019;26700;4483
03/03/2019;47082;14251
04/03/2019;52204;20305
05/03/2019;36085;18660
06/03/2019;40293;11970
07/03/2019;54495;17591
08/03/2019;69354;22039
09/03/2019;77023;20725
10/03/2019;32786;12977
11/03/2019;8433;2039
12/03/2019;57186;14007
13/03/2019;58834;21812
14/03/2019;34460;15513
15/03/2019;39929;17470
16/03/2019;50439;17023
17/03/2019;78093;20840
18/03/2019;55931;18576
19/03/2019;15037;2910
20/03/2019;38007;10659
21/03/2019;48692;13592
22/03/2019;23514;3485
23/03/2019;46819;8433
24/03/2019;45495;6440
25/03/2019;39740;10927
26/03/2019;47980;12028
27/03/2019;48381;12402
28/03/2019;31829;5470
29/03/2019;57881;10053
30/03/2019;37508;6574
31/03/2019;46127;9114
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
