Wind power DK in MWh;;
Data was last updated 01-01-2019;;
;DK1;DK2
01/01/2017;27918;11704
02/01/2017;20763;4296
03/01/2017;55892;14628
04/01/2017;57010;17695
05/01/2017;18552;9104
06/01/2017;34609;2531
07/01/2017;36278;10522
08/01/2017;9243;1082
09/01/2017;38945;6496
10/01/2017;48616;12786
11/01/2017;69723;18762
12/01/2017;59606;17187
13/01/2017;12361;2561
14/01/2017;36675;6294
15/01/2017;12272;5715
16/01/2017;5112;2605
17/01/2017;15269;839
18/01/2017;39715;6991
19/01/2017;31445;7576
20/01/2017;32208;7588
21/01/2017;8091;1526
22/01/2017;3883;446
23/01/2017;10880;1570
24/01/2017;14543;3340
25/01/2017;21781;1660
26/01/2017;13217;1290
27/01/2017;24076;4322
28/01/2017;19062;2441
29/01/2017;25632;7164
30/01/2017;12169;7503
31/01/2017;17094;9015
01/02/2017;28102;4604
02/02/2017;36525;8395
03/02/2017;31979;5443
04/02/2017;21109;2920
05/02/2017;20131;6661
06/02/2017;34573;10427
07/02/2017;53893;13710
08/02/2017;47676;7468
09/02/2017;19642;2612
10/02/2017;39225;10183
11/02/2017;52071;16579
12/02/2017;39064;12450
13/02/2017;7889;1835
14/02/2017;7757;633
15/02/2017;7213;1534
16/02/2017;35004;9109
17/02/2017;13186;2688
18/02/2017;33014;4882
19/02/2017;45199;12035
20/02/2017;67297;18990
21/02/2017;65847;17777
22/02/2017;74010;20278
23/02/2017;33548;12750
24/02/2017;30381;11250
25/02/2017;42235;12197
26/02/2017;35191;15003
27/02/2017;48993;15745
28/02/2017;69762;14537
01/03/2017;56521;14523
02/03/2017;30106;8462
03/03/2017;39179;10026
04/03/2017;32591;4638
05/03/2017;39520;7707
06/03/2017;53078;15330
07/03/2017;14977;3596
08/03/2017;25477;7013
09/03/2017;28505;3240
10/03/2017;34278;8041
11/03/2017;6659;1316
12/03/2017;25794;4975
13/03/2017;13733;2680
14/03/2017;45927;9894
15/03/2017;66259;17491
16/03/2017;48258;10677
17/03/2017;53853;15135
18/03/2017;40767;15659
19/03/2017;28174;7889
20/03/2017;27673;8741
21/03/2017;64288;15723
22/03/2017;34978;6870
23/03/2017;6915;1680
24/03/2017;12071;1286
25/03/2017;31633;5732
26/03/2017;6711;441
27/03/2017;15797;2402
28/03/2017;5675;803
29/03/2017;11041;6403
30/03/2017;29562;5166
31/03/2017;23713;4281
01/04/2017;9367;1458
02/04/2017;8215;3067
03/04/2017;10778;1541
04/04/2017;15222;774
05/04/2017;53768;11683
06/04/2017;49218;12955
07/04/2017;57371;14556
08/04/2017;32579;7024
09/04/2017;32766;3479
10/04/2017;69244;18662
11/04/2017;56764;17909
12/04/2017;58121;16708
13/04/2017;54859;15817
14/04/2017;29053;12674
15/04/2017;28112;11093
16/04/2017;13191;1855
17/04/2017;23279;5587
18/04/2017;18353;8746
19/04/2017;7196;856
20/04/2017;40899;6300
21/04/2017;57695;18160
22/04/2017;58228;17471
23/04/2017;51861;15808
24/04/2017;57806;13731
25/04/2017;26252;5003
26/04/2017;8183;1693
27/04/2017;16877;3105
28/04/2017;14786;5349
29/04/2017;14935;1630
30/04/2017;27394;8421
01/05/2017;51463;16579
02/05/2017;38574;17256
03/05/2017;33402;15367
04/05/2017;48911;17051
05/05/2017;30827;10518
06/05/2017;3940;333
07/05/2017;8597;1142
08/05/2017;47227;8723
09/05/2017;14080;2845
10/05/2017;14579;4497
11/05/2017;6157;3526
12/05/2017;49873;15238
13/05/2017;22649;5756
14/05/2017;5891;1592
15/05/2017;6369;1507
16/05/2017;29898;5411
17/05/2017;10753;5259
18/05/2017;30171;9279
19/05/2017;3334;901
20/05/2017;19645;8042
21/05/2017;14756;1362
22/05/2017;2254;399
23/05/2017;13898;2491
24/05/2017;41920;10654
25/05/2017;36170;6743
26/05/2017;11180;3543
27/05/2017;10091;1847
28/05/2017;37176;8599
29/05/2017;11514;2746
30/05/2017;11194;5462
31/05/2017;71290;18193
01/06/2017;39756;11917
02/06/2017;7191;1499
03/06/2017;8663;3519
04/06/2017;18071;5490
05/06/2017;28716;4470
06/06/2017;46422;7788
07/06/2017;46272;15581
08/06/2017;42318;12553
09/06/2017;14625;6328
10/06/2017;17549;2481
11/06/2017;24767;7526
12/06/2017;58137;15128
13/06/2017;59715;18209
14/06/2017;23610;6612
