Wind power DK in MWh;;
Data was last updated 01-01-2019;;
;DK1;DK2
15/06/2017;10583;2339
16/06/2017;59914;16955
17/06/2017;32653;12081
18/06/2017;21113;3933
19/06/2017;12913;1085
20/06/2017;50179;8382
21/06/2017;23438;5414
22/06/2017;8978;1620
23/06/2017;21678;10734
24/06/2017;45853;13921
25/06/2017;63436;13360
26/06/2017;65517;15865
27/06/2017;15979;3313
28/06/2017;28311;11622
29/06/2017;38680;10042
30/06/2017;29963;2666
01/07/2017;24560;2240
02/07/2017;56065;13197
03/07/2017;50228;12842
04/07/2017;36480;12452
05/07/2017;16920;3120
06/07/2017;4908;707
07/07/2017;1247;581
08/07/2017;29272;5659
09/07/2017;19888;2381
10/07/2017;2459;999
11/07/2017;15853;2677
12/07/2017;37861;3821
13/07/2017;44991;13165
14/07/2017;11875;1164
15/07/2017;5441;689
16/07/2017;38800;8060
17/07/2017;41229;7340
18/07/2017;23871;2973
19/07/2017;9143;4637
20/07/2017;25151;4723
21/07/2017;12855;2303
22/07/2017;19100;5860
23/07/2017;29778;5067
24/07/2017;7914;537
25/07/2017;15090;8853
26/07/2017;3407;3119
27/07/2017;16785;1929
28/07/2017;17782;4408
29/07/2017;37360;10421
30/07/2017;28495;6112
31/07/2017;26241;3065
01/08/2017;5499;781
02/08/2017;16120;2610
03/08/2017;34620;7253
04/08/2017;55441;17196
05/08/2017;44564;12962
06/08/2017;44269;10297
07/08/2017;27210;3620
08/08/2017;12539;7240
09/08/2017;40279;8136
10/08/2017;20315;1894
11/08/2017;4056;2477
12/08/2017;15232;6466
13/08/2017;42094;7947
14/08/2017;8915;2382
15/08/2017;25914;9785
16/08/2017;7100;1903
17/08/2017;26202;5361
18/08/2017;17785;3145
19/08/2017;31996;10022
20/08/2017;39287;13025
21/08/2017;42477;14942
22/08/2017;17925;6000
23/08/2017;2897;749
24/08/2017;28833;5226
25/08/2017;36863;6727
26/08/2017;5079;534
27/08/2017;4991;3152
28/08/2017;5471;797
29/08/2017;23041;3161
30/08/2017;7013;2126
31/08/2017;19728;5108
01/09/2017;11368;1394
02/09/2017;4586;634
03/09/2017;2525;491
04/09/2017;5777;4612
05/09/2017;12521;1206
06/09/2017;22767;4565
07/09/2017;25819;11626
08/09/2017;25966;12898
09/09/2017;2774;6567
10/09/2017;33140;7081
11/09/2017;55624;15427
12/09/2017;47472;13155
13/09/2017;37442;15865
14/09/2017;16969;13979
15/09/2017;19859;11213
16/09/2017;2488;3132
17/09/2017;2487;249
18/09/2017;779;322
19/09/2017;19177;4272
20/09/2017;4715;6814
21/09/2017;4258;633
22/09/2017;5096;275
23/09/2017;1298;401
24/09/2017;7505;4896
25/09/2017;27072;9284
26/09/2017;25937;6774
27/09/2017;33828;8235
28/09/2017;40899;9197
29/09/2017;42539;9311
30/09/2017;50368;15035
01/10/2017;27717;5190
02/10/2017;57570;17577
03/10/2017;58484;16472
04/10/2017;58683;18911
05/10/2017;42223;12217
06/10/2017;39597;10684
07/10/2017;30494;14506
08/10/2017;22690;8759
09/10/2017;9785;7180
10/10/2017;17836;5243
11/10/2017;37695;12054
12/10/2017;67778;21321
13/10/2017;33920;8699
14/10/2017;38174;14140
15/10/2017;30012;7244
16/10/2017;16397;4922
17/10/2017;60650;11665
18/10/2017;18736;3777
19/10/2017;24178;5274
20/10/2017;42060;5780
21/10/2017;34421;3264
22/10/2017;21283;3159
23/10/2017;17028;3580
24/10/2017;42416;8514
25/10/2017;43735;16516
26/10/2017;49618;15035
27/10/2017;51373;16514
28/10/2017;66692;21488
29/10/2017;56635;18901
30/10/2017;29600;9862
31/10/2017;16232;7321
01/11/2017;42822;14986
02/11/2017;38576;13317
03/11/2017;20955;5509
04/11/2017;33758;6915
05/11/2017;20806;5900
06/11/2017;19911;2226
07/11/2017;21312;2230
08/11/2017;8018;2183
09/11/2017;46528;9526
10/11/2017;55885;15101
11/11/2017;54800;17004
12/11/2017;27008;8847
13/11/2017;15204;4567
14/11/2017;39430;11830
15/11/2017;19424;3384
16/11/2017;35957;8340
17/11/2017;53653;10056
18/11/2017;60967;17943
19/11/2017;46850;18629
20/11/2017;11202;4717
21/11/2017;11046;2623
22/11/2017;61700;16655
23/11/2017;73866;18962
24/11/2017;21290;8111
25/11/2017;22985;3117
26/11/2017;52025;18390
27/11/2017;41062;18677
28/11/2017;16621;14823
29/11/2017;3700;1479
30/11/2017;7399;891
01/12/2017;11776;2439
02/12/2017;29945;7067
03/12/2017;44238;14853
04/12/2017;35635;10023
05/12/2017;69613;17314
06/12/2017;72722;20963
07/12/2017;77525;21221
08/12/2017;65568;18539
09/12/2017;58549;18982
10/12/2017;22757;14654
11/12/2017;20075;5918
12/12/2017;41991;8599
13/12/2017;57117;18347
14/12/2017;29166;15961
15/12/2017;10678;7655
16/12/2017;19906;5326
17/12/2017;19741;4123
18/12/2017;27929;5623
19/12/2017;5338;3422
20/12/2017;24194;4595
21/12/2017;34789;9421
22/12/2017;44263;10770
23/12/2017;71943;20308
24/12/2017;60203;17596
25/12/2017;69934;17075
26/12/2017;70255;17850
27/12/2017;25144;15040
28/12/2017;21606;12686
29/12/2017;32319;16577
30/12/2017;20023;16012
31/12/2017;34390;13191
