Wind power DK in MWh;;
Data was last updated 11-01-2018;;
;DK1;DK2
02/09/2016;26242;3343
03/09/2016;23232;4792
04/09/2016;9968;2086
05/09/2016;6826;3789
06/09/2016;23067;2003
07/09/2016;11028;1552
08/09/2016;10830;1905
09/09/2016;9371;2042
10/09/2016;18583;2108
11/09/2016;22398;3392
12/09/2016;10224;3316
13/09/2016;13567;3754
14/09/2016;13255;4368
15/09/2016;12586;2483
16/09/2016;19520;7608
17/09/2016;15190;11295
18/09/2016;6606;7130
19/09/2016;1273;1529
20/09/2016;2852;1585
21/09/2016;2912;1432
22/09/2016;7433;1249
23/09/2016;16379;2196
24/09/2016;13813;1974
25/09/2016;29346;5039
26/09/2016;5141;1748
27/09/2016;24287;1410
28/09/2016;60431;16489
29/09/2016;65854;15516
30/09/2016;44732;12731
01/10/2016;8033;2888
02/10/2016;11209;988
03/10/2016;33935;7420
04/10/2016;25324;10534
05/10/2016;35195;11920
06/10/2016;42491;13624
07/10/2016;32362;9724
08/10/2016;30755;9061
09/10/2016;29980;3422
10/10/2016;28843;5571
11/10/2016;37702;14202
12/10/2016;33893;10808
13/10/2016;36608;10498
14/10/2016;58236;15729
15/10/2016;62062;14901
16/10/2016;29166;3622
17/10/2016;31428;5423
18/10/2016;17403;2442
19/10/2016;20151;2551
20/10/2016;29947;4139
21/10/2016;41787;5521
22/10/2016;40698;3685
23/10/2016;23042;1211
24/10/2016;11851;1465
25/10/2016;3577;783
26/10/2016;21081;2003
27/10/2016;31677;7394
28/10/2016;60679;16968
29/10/2016;53800;17305
30/10/2016;7010;3862
31/10/2016;9844;1177
01/11/2016;52675;13769
02/11/2016;32806;14526
03/11/2016;9352;2473
04/11/2016;10665;8718
05/11/2016;27585;4117
06/11/2016;57265;6965
07/11/2016;32012;7951
08/11/2016;9622;5944
09/11/2016;20353;4998
10/11/2016;12238;3012
11/11/2016;8163;2535
12/11/2016;22446;1796
13/11/2016;27411;5967
14/11/2016;45228;12396
15/11/2016;38026;13744
16/11/2016;36013;8748
17/11/2016;39908;10123
18/11/2016;51096;15812
19/11/2016;41892;12363
20/11/2016;50261;16174
21/11/2016;25689;9210
22/11/2016;32841;5290
23/11/2016;28611;940
24/11/2016;17330;1869
25/11/2016;23447;1324
26/11/2016;59881;13365
27/11/2016;35423;11296
28/11/2016;19022;5726
29/11/2016;45868;13015
30/11/2016;53919;17240
01/12/2016;69339;18625
02/12/2016;22842;8824
03/12/2016;11896;2329
04/12/2016;24260;4391
05/12/2016;38059;9252
06/12/2016;7315;2000
07/12/2016;48971;11911
08/12/2016;51961;16582
09/12/2016;39820;14001
10/12/2016;41810;15252
11/12/2016;33697;7866
12/12/2016;11564;5083
13/12/2016;9069;2588
14/12/2016;4821;577
15/12/2016;17372;3112
16/12/2016;7159;3817
17/12/2016;16982;1983
18/12/2016;11600;3623
19/12/2016;11356;780
20/12/2016;16128;3284
21/12/2016;52382;13054
22/12/2016;44402;9466
23/12/2016;50942;15841
24/12/2016;59782;18896
25/12/2016;53352;15234
26/12/2016;49619;16667
27/12/2016;49148;13955
28/12/2016;22496;4091
29/12/2016;38739;6108
30/12/2016;49104;8845
31/12/2016;62075;15866
