Wind power DK in MWh;;
Data was last updated 08-02-2017;;
;DK1;DK2
01/01/2015;68676;16953
02/01/2015;74827;21390
03/01/2015;59688;18217
04/01/2015;45770;15376
05/01/2015;14259;6209
06/01/2015;34851;7653
07/01/2015;41383;10730
08/01/2015;56485;16847
09/01/2015;65035;20831
10/01/2015;49592;14905
11/01/2015;63025;18905
12/01/2015;71279;18497
13/01/2015;36656;11635
14/01/2015;42172;12628
15/01/2015;68893;18412
16/01/2015;64764;16777
17/01/2015;44090;11793
18/01/2015;17240;6541
19/01/2015;5752;2335
20/01/2015;10601;1399
21/01/2015;2557;394
22/01/2015;1032;256
23/01/2015;15362;1171
24/01/2015;42252;11325
25/01/2015;15686;3705
26/01/2015;38148;10973
27/01/2015;33236;9947
28/01/2015;61524;15988
29/01/2015;38385;18481
30/01/2015;5159;2244
31/01/2015;8617;6876
01/02/2015;21597;9929
02/02/2015;15287;7152
03/02/2015;17574;2758
04/02/2015;14785;2001
05/02/2015;6012;1697
06/02/2015;21189;2071
07/02/2015;69633;17457
08/02/2015;55566;16983
09/02/2015;58344;9904
10/02/2015;50723;5417
11/02/2015;15799;2085
12/02/2015;8106;587
13/02/2015;14234;1384
14/02/2015;24771;4955
15/02/2015;55959;17874
16/02/2015;51250;14392
17/02/2015;24490;3271
18/02/2015;64549;13683
19/02/2015;70430;13731
20/02/2015;40200;14220
21/02/2015;5457;9021
22/02/2015;30826;11351
23/02/2015;47914;16094
24/02/2015;49827;14474
25/02/2015;18612;6806
26/02/2015;37405;8940
27/02/2015;8028;5130
28/02/2015;39418;6361
01/03/2015;58242;15797
02/03/2015;31919;14956
03/03/2015;28605;10805
04/03/2015;21151;7785
05/03/2015;21742;4986
06/03/2015;29854;8690
07/03/2015;61151;15197
08/03/2015;48756;11889
09/03/2015;15313;3936
10/03/2015;52999;10300
11/03/2015;19132;8415
12/03/2015;4389;1673
13/03/2015;16701;9380
14/03/2015;26672;11615
15/03/2015;29829;13268
16/03/2015;45854;15313
17/03/2015;26080;11042
18/03/2015;7912;7491
19/03/2015;4479;574
20/03/2015;14876;2482
21/03/2015;34682;7909
22/03/2015;14743;2452
23/03/2015;37678;6719
24/03/2015;2240;885
25/03/2015;23696;9637
26/03/2015;19595;3820
27/03/2015;7345;758
28/03/2015;39214;5532
29/03/2015;24830;8870
30/03/2015;58733;14245
31/03/2015;39570;11205
01/04/2015;65407;15612
02/04/2015;46779;10253
03/04/2015;21845;5605
04/04/2015;10908;3264
05/04/2015;9688;3482
06/04/2015;4933;1903
07/04/2015;41968;9894
08/04/2015;24613;4808
09/04/2015;7475;1299
10/04/2015;3876;685
11/04/2015;33629;8056
12/04/2015;59637;13231
13/04/2015;63509;17909
14/04/2015;44962;10650
15/04/2015;51562;14039
16/04/2015;58976;14099
17/04/2015;31686;8390
18/04/2015;10361;2348
19/04/2015;14808;1346
20/04/2015;15239;3624
21/04/2015;42775;8370
22/04/2015;16687;2271
23/04/2015;40347;10381
24/04/2015;17846;3092
25/04/2015;30722;4714
26/04/2015;9500;2522
27/04/2015;17943;2033
28/04/2015;16891;2964
29/04/2015;33279;7087
30/04/2015;14946;4996
01/05/2015;4056;894
02/05/2015;11497;2150
03/05/2015;25903;8078
04/05/2015;29996;7002
05/05/2015;44756;13289
06/05/2015;49746;7845
07/05/2015;55874;13686
08/05/2015;13598;1585
09/05/2015;38899;6688
10/05/2015;38217;13273
11/05/2015;45659;8095
12/05/2015;30781;8376
13/05/2015;60388;16644
14/05/2015;11608;4906
15/05/2015;6232;1892
16/05/2015;37917;8330
17/05/2015;59457;16220
18/05/2015;25630;5550
19/05/2015;38418;6585
20/05/2015;14943;2787
21/05/2015;8764;2183
22/05/2015;33957;2556
23/05/2015;35507;3742
24/05/2015;25193;1469
25/05/2015;13141;1245
26/05/2015;41093;7451
27/05/2015;39688;9122
28/05/2015;42719;9389
29/05/2015;27974;6099
30/05/2015;50071;14949
31/05/2015;46943;11253
01/06/2015;50928;8838
02/06/2015;60667;14252
03/06/2015;64680;15612
04/06/2015;18036;2971
05/06/2015;21575;5653
06/06/2015;40393;9482
07/06/2015;50755;7551
08/06/2015;26214;3318
09/06/2015;4353;725
10/06/2015;23134;886
11/06/2015;15814;1118
12/06/2015;2159;408
13/06/2015;7257;2238
14/06/2015;45247;8164
15/06/2015;42413;6334
16/06/2015;25971;3031
17/06/2015;35245;5111
18/06/2015;46395;8103
19/06/2015;32718;10595
20/06/2015;17795;6167
21/06/2015;7048;2920
22/06/2015;7102;3216
23/06/2015;10260;2118
24/06/2015;53618;11183
25/06/2015;32115;3428
26/06/2015;7551;791
27/06/2015;9611;2985
28/06/2015;15407;3397
29/06/2015;15969;1879
30/06/2015;10728;1966
01/07/2015;8473;2508
02/07/2015;39974;9604
03/07/2015;9619;3398
04/07/2015;3609;1425
05/07/2015;3416;1074
06/07/2015;50987;11633
07/07/2015;19454;2774
08/07/2015;49210;12877
09/07/2015;67877;18035
10/07/2015;55653;16130
11/07/2015;4465;890
12/07/2015;5904;2579
13/07/2015;7614;2267
14/07/2015;20860;1488
15/07/2015;38968;6023
16/07/2015;23487;1223
17/07/2015;21315;3406
18/07/2015;44839;8638
19/07/2015;18327;2134
20/07/2015;10687;6202
21/07/2015;35172;9911
22/07/2015;14873;2493
23/07/2015;35511;6006
24/07/2015;7713;1692
25/07/2015;36440;8948
26/07/2015;56143;15368
27/07/2015;18295;4921
28/07/2015;10447;12818
29/07/2015;31920;13297
30/07/2015;26777;13357
31/07/2015;52598;13210
01/08/2015;9336;1072
02/08/2015;8264;777
03/08/2015;21993;4822
04/08/2015;20318;6364
05/08/2015;10173;1506
06/08/2015;12181;3425
