Wind power DK in MWh;;
Data was last updated 08-02-2017;;
;DK1;DK2
07/08/2015;5084;1750
08/08/2015;11396;1123
09/08/2015;5108;496
10/08/2015;5330;946
11/08/2015;5912;1421
12/08/2015;11228;1260
13/08/2015;6900;3700
14/08/2015;47353;17268
15/08/2015;15509;4959
16/08/2015;12846;4370
17/08/2015;45992;16476
18/08/2015;53696;17484
19/08/2015;23219;9063
20/08/2015;8072;4012
21/08/2015;13271;2631
22/08/2015;13940;4090
23/08/2015;31936;10068
24/08/2015;39893;9865
25/08/2015;40742;10687
26/08/2015;36881;8310
27/08/2015;34334;9699
28/08/2015;26760;4808
29/08/2015;21510;2569
30/08/2015;1535;1134
31/08/2015;12176;3397
01/09/2015;25698;8119
02/09/2015;51082;14310
03/09/2015;34921;3690
04/09/2015;14498;5312
05/09/2015;42087;15057
06/09/2015;45110;16354
07/09/2015;12952;5958
08/09/2015;9642;3232
09/09/2015;2784;609
10/09/2015;6876;4247
11/09/2015;33959;10346
12/09/2015;37346;6450
13/09/2015;33020;9009
14/09/2015;36005;8788
15/09/2015;36592;11875
16/09/2015;30180;9109
17/09/2015;57987;15518
18/09/2015;49710;13153
19/09/2015;26281;2419
20/09/2015;27035;7862
21/09/2015;6770;2983
22/09/2015;21075;5176
23/09/2015;3158;1420
24/09/2015;28681;8915
25/09/2015;29528;3205
26/09/2015;23693;2913
27/09/2015;9921;1620
28/09/2015;1371;648
29/09/2015;433;370
30/09/2015;10663;448
01/10/2015;30869;3359
02/10/2015;29434;3642
03/10/2015;4843;708
04/10/2015;220;534
05/10/2015;9497;1649
06/10/2015;56706;16854
07/10/2015;60527;17896
08/10/2015;36119;7056
09/10/2015;18637;3985
10/10/2015;14306;6364
11/10/2015;16625;4553
12/10/2015;16800;5842
13/10/2015;26751;3374
14/10/2015;32414;7830
15/10/2015;35369;13234
16/10/2015;29654;5032
17/10/2015;12830;1600
18/10/2015;7249;1722
19/10/2015;1667;757
20/10/2015;2162;401
21/10/2015;24720;4116
22/10/2015;46723;13046
23/10/2015;40375;13722
24/10/2015;28885;5371
25/10/2015;34182;6945
26/10/2015;8706;1196
27/10/2015;17967;5345
28/10/2015;40289;11869
29/10/2015;9554;1798
30/10/2015;9665;2084
31/10/2015;16054;4285
01/11/2015;4707;1413
02/11/2015;4714;317
03/11/2015;1630;315
04/11/2015;3447;384
05/11/2015;6494;1602
06/11/2015;10192;3691
07/11/2015;30357;11362
08/11/2015;30710;13031
09/11/2015;52486;17638
10/11/2015;44985;18736
11/11/2015;28779;15544
12/11/2015;36627;13049
13/11/2015;44288;15696
14/11/2015;41032;18049
15/11/2015;4233;3066
16/11/2015;34261;9090
17/11/2015;19005;8098
18/11/2015;36906;17431
19/11/2015;34960;18026
20/11/2015;8007;6751
21/11/2015;13771;7386
22/11/2015;34581;11027
23/11/2015;13709;6618
24/11/2015;47595;18202
25/11/2015;12099;6023
26/11/2015;15822;2026
27/11/2015;55614;13266
28/11/2015;47090;15082
29/11/2015;53192;18301
30/11/2015;49918;16510
01/12/2015;33186;13084
02/12/2015;37198;10435
03/12/2015;23584;10968
04/12/2015;64351;18565
05/12/2015;69276;16366
06/12/2015;67195;20884
07/12/2015;21840;4673
08/12/2015;36700;7705
09/12/2015;46207;11214
10/12/2015;63630;19123
11/12/2015;39406;15950
12/12/2015;22724;11225
13/12/2015;10726;7478
14/12/2015;11887;2550
15/12/2015;11831;2291
16/12/2015;26889;7090
17/12/2015;31220;8665
18/12/2015;48226;12359
19/12/2015;54100;13192
20/12/2015;58238;14537
21/12/2015;57137;16368
22/12/2015;61559;17224
23/12/2015;56898;18430
24/12/2015;55286;14156
25/12/2015;55507;17058
26/12/2015;16679;8139
27/12/2015;58761;15284
28/12/2015;30494;8163
29/12/2015;65314;17774
30/12/2015;59997;16932
31/12/2015;51890;13839
