Wind power DK in MWh;;
Data was last updated 12-11-2015;;
;DK1;DK2
01/01/2013;20882;11388
02/01/2013;26814;12516
03/01/2013;53823;19333
04/01/2013;50590;15665
05/01/2013;11754;1958
06/01/2013;15860;4432
07/01/2013;3594;1843
08/01/2013;3522;2696
09/01/2013;14771;7133
10/01/2013;29442;10978
11/01/2013;12976;4906
12/01/2013;5590;2591
13/01/2013;5613;3722
14/01/2013;12243;6751
15/01/2013;5381;1176
16/01/2013;1665;1858
17/01/2013;5704;3734
18/01/2013;20175;8912
19/01/2013;26169;6745
20/01/2013;24170;6784
21/01/2013;48740;16761
22/01/2013;28988;12705
23/01/2013;5592;5890
24/01/2013;1694;2556
25/01/2013;13952;1518
26/01/2013;33208;15130
27/01/2013;39515;13714
28/01/2013;39954;12998
29/01/2013;40227;14306
30/01/2013;53919;15506
31/01/2013;41325;16301
01/02/2013;9254;5969
02/02/2013;12805;4738
03/02/2013;23569;7957
04/02/2013;45935;16172
05/02/2013;22550;12679
06/02/2013;12415;7546
07/02/2013;10716;2425
08/02/2013;12843;2769
09/02/2013;7035;2132
10/02/2013;8236;1435
11/02/2013;21115;7127
12/02/2013;12660;5618
13/02/2013;2687;377
14/02/2013;30265;3647
15/02/2013;11858;4321
16/02/2013;1773;536
17/02/2013;2664;244
18/02/2013;23569;6711
19/02/2013;31179;13472
20/02/2013;19832;12628
21/02/2013;6612;6441
22/02/2013;3159;2697
23/02/2013;18659;13282
24/02/2013;34177;15669
25/02/2013;21452;12896
26/02/2013;3536;2712
27/02/2013;3085;521
28/02/2013;29913;8119
01/03/2013;13550;6160
02/03/2013;42489;13368
03/03/2013;23844;6518
04/03/2013;7156;760
05/03/2013;9410;3049
06/03/2013;9835;1741
07/03/2013;53947;22205
08/03/2013;59650;22634
09/03/2013;56555;21322
10/03/2013;59123;22567
11/03/2013;25338;14416
12/03/2013;9309;1252
13/03/2013;9496;2797
14/03/2013;4921;1405
15/03/2013;19601;415
16/03/2013;42873;14851
17/03/2013;60805;21840
18/03/2013;67604;23604
19/03/2013;44524;17293
20/03/2013;29019;10484
21/03/2013;21475;6928
22/03/2013;36141;14362
23/03/2013;38757;13358
24/03/2013;25500;8357
25/03/2013;24064;10064
26/03/2013;13719;8430
27/03/2013;10478;7344
28/03/2013;16923;10416
29/03/2013;15099;4936
30/03/2013;10628;1304
31/03/2013;4711;1307
01/04/2013;4965;2115
02/04/2013;5202;527
03/04/2013;7360;4307
04/04/2013;8084;6902
05/04/2013;12323;5734
06/04/2013;13291;1564
07/04/2013;19972;8670
08/04/2013;3691;1450
09/04/2013;32880;15562
10/04/2013;35479;15274
11/04/2013;20035;8866
12/04/2013;6081;2812
13/04/2013;4467;1529
14/04/2013;31569;5386
15/04/2013;23587;8959
16/04/2013;26577;2935
17/04/2013;28391;5148
18/04/2013;59348;16513
19/04/2013;56390;14647
20/04/2013;13328;2426
21/04/2013;10037;3546
22/04/2013;20368;2003
23/04/2013;48575;17185
24/04/2013;36870;11963
25/04/2013;11081;3853
26/04/2013;9442;3812
27/04/2013;10095;3023
28/04/2013;24074;2474
29/04/2013;53897;13428
30/04/2013;44026;12548
01/05/2013;7106;991
02/05/2013;9098;1296
03/05/2013;10828;1420
04/05/2013;32339;6018
05/05/2013;12889;2381
06/05/2013;2910;912
07/05/2013;5838;4719
08/05/2013;19380;4881
09/05/2013;14586;1988
10/05/2013;37908;3988
11/05/2013;19035;3719
12/05/2013;14043;3145
13/05/2013;26001;7508
14/05/2013;13844;4685
15/05/2013;30686;12055
16/05/2013;14568;8012
17/05/2013;27846;11375
18/05/2013;20469;7485
19/05/2013;7740;1479
20/05/2013;2455;481
21/05/2013;8832;3132
22/05/2013;51958;9599
23/05/2013;30419;8020
24/05/2013;9715;2661
25/05/2013;16051;3986
26/05/2013;30113;6304
27/05/2013;9653;1896
28/05/2013;6447;3882
29/05/2013;27025;10061
30/05/2013;12745;4180
31/05/2013;14897;4498
01/06/2013;21455;3165
02/06/2013;55948;13620
03/06/2013;37636;10974
04/06/2013;13945;5606
05/06/2013;6639;1706
06/06/2013;4037;1145
07/06/2013;7022;342
08/06/2013;19673;2214
09/06/2013;12364;1531
