Wind power DK in MWh;;
Data was last updated 12-11-2015;;
;DK1;DK2
10/06/2013;5445;1454
11/06/2013;3882;1196
12/06/2013;19133;1790
13/06/2013;41535;5989
14/06/2013;39752;14024
15/06/2013;29364;6296
16/06/2013;42197;13318
17/06/2013;10036;2032
18/06/2013;4404;386
19/06/2013;15451;4140
20/06/2013;4878;1576
21/06/2013;19836;10675
22/06/2013;33030;10913
23/06/2013;27311;5756
24/06/2013;17763;4232
25/06/2013;21747;4354
26/06/2013;42782;16824
27/06/2013;26427;9467
28/06/2013;28323;6153
29/06/2013;38723;8621
30/06/2013;34895;14766
01/07/2013;9646;3122
02/07/2013;10860;1138
03/07/2013;17803;5462
04/07/2013;5742;907
05/07/2013;20424;3836
06/07/2013;6491;1645
07/07/2013;6380;515
08/07/2013;12662;1271
09/07/2013;15927;1018
10/07/2013;34451;11167
11/07/2013;6177;4711
12/07/2013;2439;1374
13/07/2013;19227;5101
14/07/2013;43230;13634
15/07/2013;28286;6992
16/07/2013;20125;4842
17/07/2013;18610;3015
18/07/2013;30009;5297
19/07/2013;34883;8566
20/07/2013;4642;969
21/07/2013;3931;1372
22/07/2013;1808;385
23/07/2013;8579;3219
24/07/2013;5782;850
25/07/2013;2580;381
26/07/2013;1714;595
27/07/2013;4379;1329
28/07/2013;21238;5790
29/07/2013;5165;230
30/07/2013;16288;6743
31/07/2013;17894;6400
01/08/2013;4885;1400
02/08/2013;16563;4015
03/08/2013;31127;7126
04/08/2013;10536;816
05/08/2013;16369;3814
06/08/2013;32960;9040
07/08/2013;9984;1267
08/08/2013;11824;5801
09/08/2013;16598;3044
10/08/2013;12500;3753
11/08/2013;30248;9853
12/08/2013;26966;11351
13/08/2013;40732;13716
14/08/2013;41359;16720
15/08/2013;19351;3132
16/08/2013;29369;3843
17/08/2013;12521;1171
18/08/2013;39191;7406
19/08/2013;7299;820
20/08/2013;10019;3070
21/08/2013;8053;1305
22/08/2013;1041;233
23/08/2013;8153;3879
24/08/2013;24826;8630
25/08/2013;19579;9596
26/08/2013;6707;6404
27/08/2013;2745;1747
28/08/2013;5512;459
29/08/2013;16821;1212
30/08/2013;10340;2094
31/08/2013;38656;9294
01/09/2013;43763;14120
02/09/2013;52763;17130
03/09/2013;13934;2749
04/09/2013;2973;207
05/09/2013;19142;3619
06/09/2013;41184;11141
07/09/2013;20174;9683
08/09/2013;29480;10611
09/09/2013;9080;9517
10/09/2013;11881;3448
11/09/2013;9282;2166
12/09/2013;4601;317
13/09/2013;1189;138
14/09/2013;13963;1471
15/09/2013;36965;7717
16/09/2013;39691;13667
17/09/2013;29758;10410
18/09/2013;5153;1388
19/09/2013;3819;1074
20/09/2013;883;492
21/09/2013;11599;2293
22/09/2013;42316;13003
23/09/2013;40408;13230
24/09/2013;11491;2122
25/09/2013;11519;1888
26/09/2013;9115;2513
27/09/2013;7059;2586
28/09/2013;5702;857
29/09/2013;17126;5083
30/09/2013;16594;5735
01/10/2013;18021;3899
02/10/2013;27009;7779
03/10/2013;47594;14947
04/10/2013;47920;16760
05/10/2013;28770;3321
06/10/2013;16195;1928
07/10/2013;21941;2511
08/10/2013;23064;2726
09/10/2013;20709;7642
10/10/2013;10552;2913
11/10/2013;38430;15030
12/10/2013;42741;19109
13/10/2013;21925;4814
14/10/2013;9402;2450
15/10/2013;12300;2480
16/10/2013;4889;1095
17/10/2013;18499;10100
18/10/2013;18263;9114
19/10/2013;20625;5727
20/10/2013;18851;4691
21/10/2013;12290;5891
22/10/2013;38134;10436
23/10/2013;42382;13429
24/10/2013;50932;15241
25/10/2013;24883;6307
26/10/2013;52646;13530
27/10/2013;57779;18308
28/10/2013;50240;17694
29/10/2013;45050;19810
30/10/2013;30471;16540
31/10/2013;42411;18074
01/11/2013;32814;13379
02/11/2013;11402;1309
03/11/2013;62442;17271
04/11/2013;28775;10948
05/11/2013;25486;13603
06/11/2013;8907;5695
07/11/2013;24048;4853
08/11/2013;28101;4076
09/11/2013;36066;18723
10/11/2013;16403;6575
11/11/2013;22575;4408
12/11/2013;38544;14152
13/11/2013;37316;8993
14/11/2013;27464;6700
15/11/2013;23254;3676
16/11/2013;50683;15981
17/11/2013;17966;4719
18/11/2013;11493;3276
19/11/2013;13201;5455
20/11/2013;11141;2672
21/11/2013;16361;1271
22/11/2013;8501;2586
23/11/2013;10622;1424
24/11/2013;30402;10647
25/11/2013;13245;6466
26/11/2013;11730;1993
27/11/2013;54525;16688
28/11/2013;61306;20659
29/11/2013;30577;11146
30/11/2013;22760;5455
01/12/2013;57088;17137
02/12/2013;10634;2012
03/12/2013;33960;7478
04/12/2013;47868;15986
05/12/2013;51691;16088
06/12/2013;53040;14958
07/12/2013;31192;15697
08/12/2013;42877;13208
09/12/2013;9061;4299
10/12/2013;20933;4326
11/12/2013;23203;5325
12/12/2013;40741;7404
13/12/2013;14859;2891
14/12/2013;22888;5086
15/12/2013;52235;15569
16/12/2013;64092;18361
17/12/2013;15008;4162
18/12/2013;26565;5854
19/12/2013;41439;14109
20/12/2013;45386;11879
21/12/2013;74771;21352
22/12/2013;62456;21257
23/12/2013;61583;18404
24/12/2013;62986;21811
25/12/2013;42135;8908
26/12/2013;10833;1067
27/12/2013;59758;15572
28/12/2013;58640;9571
29/12/2013;39922;8771
30/12/2013;54850;15538
31/12/2013;49814;11490
